date,unit_id,loss_category,system,subsystem,component,loss_usd,linked_event_id
2023-01-02,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,201.67,
2023-01-02,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,252.1,
2023-01-03,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1126.11,
2023-01-03,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,250.25,
2023-01-03,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,750.74,
2023-01-03,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,375.37,
2023-01-03,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,290.6,
2023-01-03,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,726.51,
2023-01-03,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,435.9,
2023-01-03,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,405.02,
2023-01-03,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,675.04,
2023-01-03,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,270.01,
2023-01-03,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,243.7,
2023-01-03,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,365.55,
2023-01-03,STS-U1,Energy,Electrical,Transformers,GSU Transformer,609.24,
2023-01-03,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1246.87,
2023-01-03,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,453.41,
2023-01-03,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,566.76,
2023-01-03,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,807.12,
2023-01-03,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,179.36,
2023-01-03,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,538.08,
2023-01-03,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,269.04,
2023-01-03,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,79.87,
2023-01-03,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,199.68,
2023-01-03,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,119.81,
2023-01-03,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,594.36,EVT-2024-06-AUXDRIFT
2023-01-03,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,51.72,
2023-01-03,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,990.6,EVT-2024-06-AUXDRIFT
2023-01-03,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,86.2,
2023-01-03,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,396.24,EVT-2024-06-AUXDRIFT
2023-01-03,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,34.48,
2023-01-03,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,47.4,
2023-01-03,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,71.1,
2023-01-03,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,118.5,
2023-01-03,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,620.66,
2023-01-03,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,225.74,
2023-01-03,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,282.12,
2023-01-04,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1019.95,
2023-01-04,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,226.65,
2023-01-04,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,679.96,
2023-01-04,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,339.98,
2023-01-04,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,257.13,
2023-01-04,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,642.83,
2023-01-04,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,385.7,
2023-01-04,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,393.46,
2023-01-04,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,655.76,
2023-01-04,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,262.3,
2023-01-04,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,216.31,
2023-01-04,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,324.47,
2023-01-04,STS-U1,Energy,Electrical,Transformers,GSU Transformer,540.78,
2023-01-04,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1217.67,
2023-01-04,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,442.79,
2023-01-04,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,553.49,
2023-01-04,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,806.18,
2023-01-04,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,179.15,
2023-01-04,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,537.45,
2023-01-04,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,268.73,
2023-01-04,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,79.27,
2023-01-04,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,198.17,
2023-01-04,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,118.9,
2023-01-04,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,605.55,EVT-2024-06-AUXDRIFT
2023-01-04,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,50.26,
2023-01-04,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,1009.25,EVT-2024-06-AUXDRIFT
2023-01-04,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,83.78,
2023-01-04,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,403.7,EVT-2024-06-AUXDRIFT
2023-01-04,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,33.51,
2023-01-04,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,46.15,
2023-01-04,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,69.23,
2023-01-04,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,115.38,
2023-01-04,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,631.14,
2023-01-04,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,229.51,
2023-01-04,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,286.88,
2023-01-05,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1173.38,
2023-01-05,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,260.75,
2023-01-05,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,782.25,
2023-01-05,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,391.12,
2023-01-05,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,261.9,
2023-01-05,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,654.76,
2023-01-05,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,392.86,
2023-01-05,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,388.86,
2023-01-05,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,648.1,
2023-01-05,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,259.24,
2023-01-05,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,220.76,
2023-01-05,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,331.14,
2023-01-05,STS-U1,Energy,Electrical,Transformers,GSU Transformer,551.9,
2023-01-05,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1149.45,
2023-01-05,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,417.98,
2023-01-05,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,522.48,
2023-01-05,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,807.4,
2023-01-05,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,179.42,
2023-01-05,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,538.27,
2023-01-05,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,269.13,
2023-01-05,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,76.64,
2023-01-05,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,191.6,
2023-01-05,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,114.96,
2023-01-05,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,588.59,EVT-2024-06-AUXDRIFT
2023-01-05,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,49.68,
2023-01-05,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,980.98,EVT-2024-06-AUXDRIFT
2023-01-05,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,82.8,
2023-01-05,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,392.39,EVT-2024-06-AUXDRIFT
2023-01-05,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,33.12,
2023-01-05,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,41.45,
2023-01-05,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,62.17,
2023-01-05,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,103.62,
2023-01-05,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,605.72,
2023-01-05,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,220.2,
2023-01-05,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,275.33,
2023-01-06,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1142.58,
2023-01-06,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,253.91,
2023-01-06,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,761.72,
2023-01-06,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,380.86,
2023-01-06,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,281.31,
2023-01-06,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,703.28,
2023-01-06,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,421.96,
2023-01-06,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,371.56,
2023-01-06,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,619.27,
2023-01-06,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,247.71,
2023-01-06,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,233.41,
2023-01-06,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,350.11,
2023-01-06,STS-U1,Energy,Electrical,Transformers,GSU Transformer,583.52,
2023-01-06,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1409.16,
2023-01-06,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,512.42,
2023-01-06,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,640.52,
2023-01-06,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,828.42,
2023-01-06,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,184.09,
2023-01-06,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,552.28,
2023-01-06,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,276.14,
2023-01-06,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,81.09,
2023-01-06,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,202.72,
2023-01-06,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,121.64,
2023-01-06,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,612.44,EVT-2024-06-AUXDRIFT
2023-01-06,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,47.45,
2023-01-06,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,1020.73,EVT-2024-06-AUXDRIFT
2023-01-06,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,79.08,
2023-01-06,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,408.29,EVT-2024-06-AUXDRIFT
2023-01-06,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,31.63,
2023-01-06,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,41.71,
2023-01-06,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,62.56,
2023-01-06,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,104.27,
2023-01-06,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,653.26,
2023-01-06,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,237.55,
2023-01-06,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,296.94,
2023-01-07,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1001.05,
2023-01-07,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,222.46,
2023-01-07,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,667.36,
2023-01-07,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,333.68,
2023-01-07,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,257.58,
2023-01-07,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,643.96,
2023-01-07,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,386.37,
2023-01-07,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,337.83,
2023-01-07,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,563.04,
2023-01-07,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,225.22,
2023-01-07,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,208.02,
2023-01-07,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,312.03,
2023-01-07,STS-U1,Energy,Electrical,Transformers,GSU Transformer,520.04,
2023-01-07,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1233.69,
2023-01-07,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,448.62,
2023-01-07,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,560.77,
2023-01-07,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,701.06,
2023-01-07,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,155.79,
2023-01-07,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,467.37,
2023-01-07,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,233.68,
2023-01-07,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,69.05,
2023-01-07,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,172.63,
2023-01-07,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,103.58,
2023-01-07,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,514.58,EVT-2024-06-AUXDRIFT
2023-01-07,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,43.12,
2023-01-07,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,857.64,EVT-2024-06-AUXDRIFT
2023-01-07,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,71.88,
2023-01-07,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,343.05,EVT-2024-06-AUXDRIFT
2023-01-07,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,28.75,
2023-01-07,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,39.67,
2023-01-07,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,59.5,
2023-01-07,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,99.16,
2023-01-07,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,551.62,
2023-01-07,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,200.62,
2023-01-07,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,250.74,
2023-01-08,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1085.07,
2023-01-08,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,241.13,
2023-01-08,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,723.38,
2023-01-08,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,361.69,
2023-01-08,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,289.44,
2023-01-08,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,723.61,
2023-01-08,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,434.17,
2023-01-08,STS-U1,Energy,Cooling,Circulating Water System,CW Pumps / Strainers,342.98,
2023-01-08,STS-U1,Energy,Cooling,Condenser & Vacuum,Surface Condenser,571.64,
2023-01-08,STS-U1,Energy,Cooling,Cooling Tower,CT Fans / Fill,228.65,
2023-01-08,STS-U1,Energy,Electrical,Station Service,Aux Transformer / MCC,236.36,
2023-01-08,STS-U1,Energy,Electrical,Switchyard,Breakers / Protection,354.55,
2023-01-08,STS-U1,Energy,Electrical,Transformers,GSU Transformer,590.91,
2023-01-08,STS-U1,Energy,Turbine,Bearings & Vibration,Turbine Bearing #2,1090.44,
2023-01-08,STS-U1,Energy,Turbine,Lube Oil System,Lube Oil / Coolers,396.52,
2023-01-08,STS-U1,Energy,Turbine,Steam Path & Valves,HP Control Valves,495.66,
2023-01-08,STS-U1,Penalty,Boiler,Air & Flue Gas Path,ID Fan / Dampers,720.43,
2023-01-08,STS-U1,Penalty,Boiler,Combustion Control,O₂ Trim / Draft Loop,160.1,
2023-01-08,STS-U1,Penalty,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,480.29,
2023-01-08,STS-U1,Penalty,Boiler,Heat Transfer Surfaces,Superheater / Economizer,240.14,
2023-01-08,STS-U1,Penalty,Controls,Actuators,Damper / Valve Actuators,72.17,
2023-01-08,STS-U1,Penalty,Controls,DCS & Control Logic,Unit DCS,180.42,
2023-01-08,STS-U1,Penalty,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,108.25,
2023-01-08,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,521.28,EVT-2024-06-AUXDRIFT
2023-01-08,STS-U1,Penalty,Cooling,Circulating Water System,CW Pumps / Strainers,43.79,
2023-01-08,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,868.8,EVT-2024-06-AUXDRIFT
2023-01-08,STS-U1,Penalty,Cooling,Condenser & Vacuum,Surface Condenser,72.98,
2023-01-08,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,347.52,EVT-2024-06-AUXDRIFT
2023-01-08,STS-U1,Penalty,Cooling,Cooling Tower,CT Fans / Fill,29.19,
2023-01-08,STS-U1,Penalty,Electrical,Station Service,Aux Transformer / MCC,39.09,
2023-01-08,STS-U1,Penalty,Electrical,Switchyard,Breakers / Protection,58.63,
2023-01-08,STS-U1,Penalty,Electrical,Transformers,GSU Transformer,97.72,
2023-01-08,STS-U1,Penalty,Turbine,Bearings & Vibration,Turbine Bearing #2,542.16,
2023-01-08,STS-U1,Penalty,Turbine,Lube Oil System,Lube Oil / Coolers,197.11,
2023-01-08,STS-U1,Penalty,Turbine,Steam Path & Valves,HP Control Valves,246.44,
2023-01-09,STS-U1,Energy,Boiler,Air & Flue Gas Path,ID Fan / Dampers,1184.8,
2023-01-09,STS-U1,Energy,Boiler,Combustion Control,O₂ Trim / Draft Loop,263.29,
2023-01-09,STS-U1,Energy,Boiler,Fuel Prep & Milling,Coal Mills / Feeders,789.87,
2023-01-09,STS-U1,Energy,Boiler,Heat Transfer Surfaces,Superheater / Economizer,394.93,
2023-01-09,STS-U1,Energy,Controls,Actuators,Damper / Valve Actuators,290.9,
2023-01-09,STS-U1,Energy,Controls,DCS & Control Logic,Unit DCS,727.25,
2023-01-09,STS-U1,Energy,Controls,Instrumentation & Sensors,Draft DP / O₂ Analyzers,436.35,
