caption,content_text,file_path_placeholder,linked_asset_id,linked_event_id,media_id,media_type,timestamp,transcript_text
Field inspection captured.,Field inspection captured.,/media/MED-0038.jpg,STS-U1-IDF-A,EVT-DRAFT-20240408-14,MED-0038,image,2024-04-08T12:01:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0039.jpg,STS-U1-MILL-3,EVT-2023-03-MILLTRIP,MED-0039,image,2023-03-09T20:19:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0040.mp4,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0040,video,2024-01-06T13:47:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0041.jpg,STS-U1-IDF-A,EVT-DRAFT-20230305-02,MED-0041,image,2023-03-05T12:33:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0042.jpg,STS-U1-IDF-A,EVT-DRAFT-20231108-09,MED-0042,image,2023-11-08T12:45:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0043.jpg,STS-U1-IDF-A,EVT-DRAFT-20240902-23,MED-0043,image,2024-09-02T07:01:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0044.mp4,STS-U1-IDF-A,EVT-DRAFT-20240902-23,MED-0044,video,2024-09-02T08:48:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0045.mp4,STS-U1-IDF-A,EVT-DRAFT-20241219-26,MED-0045,video,2024-12-19T06:43:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0046.jpg,STS-U1-CTF-BANK1,EVT-2024-06-AUXDRIFT,MED-0046,image,2024-06-01T02:54:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0047.jpg,STS-U1-IDF-A,EVT-DRAFT-20230309-03,MED-0047,image,2023-03-09T07:01:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0048.jpg,STS-U1-IDF-A,EVT-DRAFT-20231108-09,MED-0048,image,2023-11-08T11:12:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0049.mp4,STS-U1-IDF-A,EVT-DRAFT-20240724-21,MED-0049,video,2024-07-24T17:59:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0050.jpg,STS-U1-IDF-A,EVT-DRAFT-20241130-25,MED-0050,image,2024-11-30T12:22:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0051.jpg,STS-U1-IDF-A,EVT-DRAFT-20231123-10,MED-0051,image,2023-11-23T13:04:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0052.jpg,STS-U1-MILL-3,EVT-2023-07-WETCOAL,MED-0052,image,2023-07-15T02:51:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0053.jpg,STS-U1-IDF-A,EVT-DRAFT-20240701-19,MED-0053,image,2024-07-01T17:46:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0054.mp4,STS-U1-IDF-A,EVT-DRAFT-20240531-17,MED-0054,video,2024-05-31T08:57:00Z,
Trend capture for incident review.,Trend capture for incident review.,/media/MED-0055.jpg,STS-U1-IDF-A,EVT-DRAFT-20231230-11,MED-0055,image,2023-12-30T10:44:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0056.jpg,STS-U1-SH-OUT,EVT-2023-09-PM1,MED-0056,image,2023-09-05T02:14:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0057.jpg,STS-U1-MILL-3,EVT-2023-03-MILLTRIP,MED-0057,image,2023-03-09T21:01:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0058.jpg,STS-U1-MILL-3,EVT-2023-03-MILLTRIP,MED-0058,image,2023-03-09T20:09:00Z,
Field inspection captured.,Field inspection captured.,/media/MED-0059.jpg,STS-U1-IDF-A,EVT-DRAFT-20240724-21,MED-0059,image,2024-07-24T15:21:00Z,
Maintenance finding documented.,Maintenance finding documented.,/media/MED-0060.jpg,STS-U1-IDF-A,EVT-DRAFT-20230927-07,MED-0060,image,2023-09-27T10:58:00Z,
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0061.wav,STS-U1-IDF-A,EVT-DRAFT-20230309-03,MED-0061,audio,2023-03-09T08:32:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0062.wav,STS-U1-IDF-A,EVT-DRAFT-20231230-11,MED-0062,audio,2023-12-30T11:35:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0063.wav,STS-U1-IDF-A,EVT-DRAFT-20230309-03,MED-0063,audio,2023-03-09T08:19:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0064.wav,STS-U1-IDF-A,EVT-DRAFT-20230309-03,MED-0064,audio,2023-03-09T07:49:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0065.wav,STS-U1-IDF-A,EVT-DRAFT-20240701-19,MED-0065,audio,2024-07-01T17:34:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0066.wav,STS-U1-IDF-A,EVT-DRAFT-20240720-20,MED-0066,audio,2024-07-20T12:19:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0067.wav,STS-U1-IDF-A,EVT-DRAFT-20240830-22,MED-0067,audio,2024-08-30T12:37:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0068.wav,STS-U1-IDF-A,EVT-DRAFT-20231108-09,MED-0068,audio,2023-11-08T11:25:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0069.wav,STS-U1-IDF-A,EVT-DRAFT-20240720-20,MED-0069,audio,2024-07-20T12:42:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0070.wav,STS-U1-IDF-A,EVT-DRAFT-20240724-21,MED-0070,audio,2024-07-24T16:51:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0071.wav,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0071,audio,2024-01-06T13:45:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Operator voice: Condenser temperature rising; vacuum degrading. CW Pump 2 sounds rough—possible cavitation. Limited load to protect vacuum.,/media/MED-0072.wav,STS-U1-CWP-2,EVT-2024-03-CW-CONSTR,MED-0072,audio,2024-03-17T12:40:00Z,Operator voice: Condenser temperature rising; vacuum degrading. CW Pump 2 sounds rough—possible cavitation. Limited load to protect vacuum.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0073.wav,STS-U1-IDF-A,EVT-DRAFT-20240830-22,MED-0073,audio,2024-08-30T13:43:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0074.wav,STS-U1-IDF-A,EVT-DRAFT-20240512-16,MED-0074,audio,2024-05-12T07:59:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0075.wav,STS-U1-IDF-A,EVT-DRAFT-20240612-18,MED-0075,audio,2024-06-12T16:39:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0076.wav,STS-U1-IDF-A,EVT-DRAFT-20241130-25,MED-0076,audio,2024-11-30T12:07:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Operator memo: Abnormal trend noted; escalate to maintenance and performance teams for review.,/media/MED-0077.wav,STS-U1-CTF-BANK1,EVT-2024-06-AUXDRIFT,MED-0077,audio,2024-06-01T02:21:00Z,Operator memo: Abnormal trend noted; escalate to maintenance and performance teams for review.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0078.wav,STS-U1-IDF-A,EVT-DRAFT-20230513-05,MED-0078,audio,2023-05-13T19:00:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0079.wav,STS-U1-IDF-A,EVT-DRAFT-20240112-13,MED-0079,audio,2024-01-12T08:40:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0080.wav,STS-U1-IDF-A,EVT-DRAFT-20230403-04,MED-0080,audio,2023-04-03T19:28:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
Operator voice note recorded.,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.,/media/MED-0081.wav,STS-U1-IDF-A,EVT-DRAFT-20241106-24,MED-0081,audio,2024-11-06T12:33:00Z,Voice log: Draft control unstable; O₂ trim drifting high. Suspect DP transmitter noise or sluggish damper actuator. Holding load to prevent excursions.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0082.wav,STS-U1-IDF-A,EVT-DRAFT-20241130-25,MED-0082,audio,2024-11-30T12:01:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Voice note: Observed transient; holding load and monitoring key parameters. Recommend follow-up inspection.,/media/MED-0083.wav,STS-U1-CTF-BANK1,EVT-2024-09-PM2,MED-0083,audio,2024-09-05T01:09:00Z,Voice note: Observed transient; holding load and monitoring key parameters. Recommend follow-up inspection.
Operator voice note recorded.,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.,/media/MED-0084.wav,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0084,audio,2024-01-06T15:25:00Z,Operator note: Furnace draft is oscillating ±20 Pa; ID fan hunting. Damper near 98–100% open. Reduced ramp rate and stabilized bias.
Operator voice note recorded.,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.,/media/MED-0085.wav,STS-U1-IDF-A,EVT-DRAFT-20240106-12,MED-0085,audio,2024-01-06T13:28:00Z,Shift call: ID fan speed trending high; damper saturated. Recommend tuning review and inspect impulse lines for draft DP.
