alarm_id,timestamp,tag_id,severity,message,linked_event_id,standard_tag_id_truth
ALM-202302140555-00011,2023-02-14T05:55:00Z,TAG-U1-TurbineVibration_mm_s,HIGH,BRG2 vib high: check oil/alignment/pedestal. Trip risk.,EVT-2023-02-TB-VIB,TAG-U1-TurbineVibration_mm_s
ALM-202302140630-00012,2023-02-14T06:30:00Z,TAG-U1-TurbineVibration_mm_s,HIGH,BRG2 vib high: check oil/alignment/pedestal. Trip risk.,EVT-2023-02-TB-VIB,TAG-U1-TurbineVibration_mm_s
ALM-202302140720-00013,2023-02-14T07:20:00Z,TAG-U1-TurbineVibration_mm_s,HIGH,BRG2 vib high: check oil/alignment/pedestal. Trip risk.,EVT-2023-02-TB-VIB,TAG-U1-TurbineVibration_mm_s
ALM-202303011950-00014,2023-03-01T19:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202303030710-00015,2023-03-03T07:10:00Z,TAG-U1-FurnaceDraftPressure_Pa,HIGH,Furnace draft oscillation; ID fan hunting suspected. Stabilize draft.,EVT-DRAFT-20230303-01,TAG-U1-FurnaceDraftPressure_Pa
ALM-202303072255-00016,2023-03-07T22:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202303090640-00017,2023-03-09T06:40:00Z,TAG-U1-FurnaceDraftPressure_Pa,HIGH,Furnace draft oscillation; ID fan hunting suspected. Stabilize draft.,EVT-DRAFT-20230309-03,TAG-U1-FurnaceDraftPressure_Pa
ALM-202303151040-00018,2023-03-15T10:40:00Z,TAG-U1-DamperPosition_pct,MED,Damper near saturation (>95%). Check ID fan response/tuning.,,TAG-U1-DamperPosition_pct
ALM-202303151840-00019,2023-03-15T18:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202303221230-00020,2023-03-22T12:30:00Z,TAG-U1-DamperPosition_pct,MED,Damper near saturation (>95%). Check ID fan response/tuning.,,TAG-U1-DamperPosition_pct
ALM-202303221900-00021,2023-03-22T19:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202303310800-00022,2023-03-31T08:00:00Z,TAG-U1-DamperPosition_pct,MED,Damper near saturation (>95%). Check ID fan response/tuning.,,TAG-U1-DamperPosition_pct
ALM-202303310830-00023,2023-03-31T08:30:00Z,TAG-U1-DamperPosition_pct,MED,Damper near saturation (>95%). Check ID fan response/tuning.,,TAG-U1-DamperPosition_pct
ALM-202303310900-00024,2023-03-31T09:00:00Z,TAG-U1-DamperPosition_pct,MED,Damper near saturation (>95%). Check ID fan response/tuning.,,TAG-U1-DamperPosition_pct
ALM-202304010100-00025,2023-04-01T01:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304010220-00026,2023-04-01T02:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304010415-00027,2023-04-01T04:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304010820-00028,2023-04-01T08:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304010940-00029,2023-04-01T09:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011050-00030,2023-04-01T10:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011110-00031,2023-04-01T11:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011135-00032,2023-04-01T11:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011230-00033,2023-04-01T12:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011550-00034,2023-04-01T15:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011705-00035,2023-04-01T17:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011740-00036,2023-04-01T17:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011755-00037,2023-04-01T17:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011810-00038,2023-04-01T18:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304011900-00039,2023-04-01T19:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304012000-00040,2023-04-01T20:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304012100-00041,2023-04-01T21:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020025-00042,2023-04-02T00:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020145-00043,2023-04-02T01:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020215-00044,2023-04-02T02:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020425-00045,2023-04-02T04:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020440-00046,2023-04-02T04:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020525-00047,2023-04-02T05:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304020625-00048,2023-04-02T06:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304021115-00049,2023-04-02T11:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304021420-00050,2023-04-02T14:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304021745-00051,2023-04-02T17:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304022040-00052,2023-04-02T20:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304022205-00053,2023-04-02T22:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304022315-00054,2023-04-02T23:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030020-00055,2023-04-03T00:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030205-00056,2023-04-03T02:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030335-00057,2023-04-03T03:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030500-00058,2023-04-03T05:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030505-00059,2023-04-03T05:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304030955-00060,2023-04-03T09:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304031300-00061,2023-04-03T13:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304031320-00062,2023-04-03T13:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304031715-00063,2023-04-03T17:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,EVT-DRAFT-20230403-04,TAG-U1-CondenserTemp_C
ALM-202304031720-00064,2023-04-03T17:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,EVT-DRAFT-20230403-04,TAG-U1-CondenserTemp_C
ALM-202304031850-00065,2023-04-03T18:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,EVT-DRAFT-20230403-04,TAG-U1-CondenserTemp_C
ALM-202304032010-00066,2023-04-03T20:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,EVT-DRAFT-20230403-04,TAG-U1-CondenserTemp_C
ALM-202304032050-00067,2023-04-03T20:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304032055-00068,2023-04-03T20:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304032135-00069,2023-04-03T21:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304032210-00070,2023-04-03T22:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304040435-00071,2023-04-04T04:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304040530-00072,2023-04-04T05:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304040750-00073,2023-04-04T07:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304040930-00074,2023-04-04T09:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304041505-00075,2023-04-04T15:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304041540-00076,2023-04-04T15:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304041805-00077,2023-04-04T18:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304041850-00078,2023-04-04T18:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304042015-00079,2023-04-04T20:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304042020-00080,2023-04-04T20:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304050100-00081,2023-04-05T01:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304050135-00082,2023-04-05T01:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304050315-00083,2023-04-05T03:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304050355-00084,2023-04-05T03:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304050405-00085,2023-04-05T04:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304051005-00086,2023-04-05T10:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304051040-00087,2023-04-05T10:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304051215-00088,2023-04-05T12:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304051420-00089,2023-04-05T14:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304051520-00090,2023-04-05T15:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304052300-00091,2023-04-05T23:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304052305-00092,2023-04-05T23:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304052330-00093,2023-04-05T23:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060015-00094,2023-04-06T00:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060100-00095,2023-04-06T01:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060110-00096,2023-04-06T01:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060255-00097,2023-04-06T02:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060300-00098,2023-04-06T03:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060500-00099,2023-04-06T05:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060540-00100,2023-04-06T05:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060830-00101,2023-04-06T08:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060900-00102,2023-04-06T09:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304060930-00103,2023-04-06T09:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304061535-00104,2023-04-06T15:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304062125-00105,2023-04-06T21:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304062155-00106,2023-04-06T21:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304062305-00107,2023-04-06T23:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304062310-00108,2023-04-06T23:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304070700-00109,2023-04-07T07:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304071120-00110,2023-04-07T11:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304071545-00111,2023-04-07T15:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304071625-00112,2023-04-07T16:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304071855-00113,2023-04-07T18:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304072325-00114,2023-04-07T23:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304080145-00115,2023-04-08T01:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304080355-00116,2023-04-08T03:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304080620-00117,2023-04-08T06:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304080930-00118,2023-04-08T09:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304080955-00119,2023-04-08T09:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304081050-00120,2023-04-08T10:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304081425-00121,2023-04-08T14:25:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304081540-00122,2023-04-08T15:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304081735-00123,2023-04-08T17:35:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304082145-00124,2023-04-08T21:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090140-00125,2023-04-09T01:40:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090220-00126,2023-04-09T02:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090330-00127,2023-04-09T03:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090355-00128,2023-04-09T03:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090510-00129,2023-04-09T05:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090745-00130,2023-04-09T07:45:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090810-00131,2023-04-09T08:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304090905-00132,2023-04-09T09:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091030-00133,2023-04-09T10:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091150-00134,2023-04-09T11:50:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091200-00135,2023-04-09T12:00:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091310-00136,2023-04-09T13:10:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091330-00137,2023-04-09T13:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091420-00138,2023-04-09T14:20:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091555-00139,2023-04-09T15:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091655-00140,2023-04-09T16:55:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304091830-00141,2023-04-09T18:30:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304092005-00142,2023-04-09T20:05:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
ALM-202304092115-00143,2023-04-09T21:15:00Z,TAG-U1-CondenserTemp_C,MED,Condenser temp elevated; vacuum risk. Review CW pumps/CT fans.,,TAG-U1-CondenserTemp_C
