event_id,unit_id,linked_asset_id,duration_hours,mw_unavailable,missing_mwh,energy_revenue_loss_usd,capacity_loss_alloc_usd,penalties_alloc_usd,event_revenue_impact_usd,root_cause_category,root_cause_detail,type,start_time,end_time
EVT-DRAFT-20240415-15,STS-U1,STS-U1-IDF-A,3.683333333333333,83.0,305.71666666666664,5860.575000000001,6148.150000000023,1797.62,13806.345000000023,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-04-15T09:33:00Z,2024-04-15T13:14:00Z
EVT-DRAFT-20240512-16,STS-U1,STS-U1-IDF-A,3.033333333333333,110.0,333.66666666666663,4333.96,6666.669999999984,1527.31,12527.939999999982,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-05-12T07:26:00Z,2024-05-12T10:28:00Z
EVT-DRAFT-20240531-17,STS-U1,STS-U1-IDF-A,3.4833333333333334,75.0,261.25,4416.581,5303.030000000028,1706.69,11426.301000000029,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-05-31T06:00:00Z,2024-05-31T09:29:00Z
EVT-2024-06-AUXDRIFT,STS-U1,STS-U1-CTF-BANK1,2304.0,60.0,138240.0,2228163.137,29090.909999999974,1235.59,2258489.637,Cooling constraints,CT fan degradation; sustained cap + aux drift.,Partial Derate,2024-06-01T00:00:00Z,2024-09-05T00:00:00Z
EVT-DRAFT-20240612-18,STS-U1,STS-U1-IDF-A,1.0166666666666666,123.0,125.05,6912.737999999999,30363.640000000014,982.19,38258.568000000014,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-06-12T15:32:00Z,2024-06-12T16:33:00Z
EVT-DRAFT-20240701-19,STS-U1,STS-U1-IDF-A,3.3333333333333335,113.0,376.6666666666667,8053.023,32659.929999999993,2254.21,42967.16299999999,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-07-01T15:16:00Z,2024-07-01T18:36:00Z
EVT-2024-07-WETCOAL,STS-U1,STS-U1-MILL-3,1488.0,35.0,52080.0,1141093.5150000001,29090.909999999974,1369.63,1171554.055,Fuel quality,Monsoon wet coal + draft sensitivity; conservative cap.,Partial Derate,2024-07-15T00:00:00Z,2024-09-15T00:00:00Z
EVT-DRAFT-20240720-20,STS-U1,STS-U1-IDF-A,3.1,82.0,254.20000000000002,4401.475,30498.320000000007,1533.83,36433.62500000001,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-07-20T10:45:00Z,2024-07-20T13:51:00Z
EVT-DRAFT-20240724-21,STS-U1,STS-U1-IDF-A,2.6666666666666665,96.0,256.0,4263.441000000001,31030.29999999999,1584.06,36877.800999999985,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-07-24T15:11:00Z,2024-07-24T17:51:00Z
EVT-DRAFT-20240830-22,STS-U1,STS-U1-IDF-A,2.7,62.0,167.4,3407.2639999999997,29202.02000000002,1575.56,34184.84400000002,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-08-30T11:14:00Z,2024-08-30T13:56:00Z
EVT-DRAFT-20240902-23,STS-U1,STS-U1-IDF-A,1.7333333333333334,69.0,119.60000000000001,1944.899,29409.090000000026,1449.16,32803.14900000003,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-09-02T06:00:00Z,2024-09-02T07:44:00Z
EVT-2024-09-PM2,STS-U1,STS-U1-CTF-BANK1,36.0,220.0,7920.0,108083.35200000001,106666.67000000001,56520.25,271270.272,Planned Maintenance,Cooling tower fan refurbishment + condenser recovery activities.,Planned,2024-09-05T00:00:00Z,2024-09-06T12:00:00Z
EVT-DRAFT-20241106-24,STS-U1,STS-U1-IDF-A,3.0,112.0,336.0,2558.2110000000002,6787.880000000005,797.74,10143.831000000004,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-11-06T10:18:00Z,2024-11-06T13:18:00Z
EVT-DRAFT-20241130-25,STS-U1,STS-U1-IDF-A,3.55,105.0,372.75,2443.41,7601.010000000009,800.07,10844.490000000009,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-11-30T10:45:00Z,2024-11-30T14:18:00Z
EVT-DRAFT-20241219-26,STS-U1,STS-U1-IDF-A,3.283333333333333,105.0,344.75,3185.011,6893.940000000002,877.29,10956.241000000002,Boiler-side,Unstable furnace draft; ID fan hunting; damper saturation; temporary cap.,Partial Derate,2024-12-19T05:08:00Z,2024-12-19T08:25:00Z
