timestamp,unit_id,net_station_heat_rate,ppa_reference_heat_rate,aux_load_mw,fuel_heat_input_mmbtu,ramp_rate_mw_per_min,restart_flag,heat_rate_deviation_percent,fuel_cost_impact_usd
2023-01-02T11:00:00Z,STS-U1,9523.442,9370.725,49.259,4381.152,0.091,0,1.63,200.89
2023-01-02T12:00:00Z,STS-U1,9492.302,9384.938,48.643,4316.063,0.079,0,1.144,139.6
2023-01-02T13:00:00Z,STS-U1,9761.795,9316.304,49.67,4680.465,0.396,0,4.782,610.88
2023-01-02T14:00:00Z,STS-U1,9630.433,9250.309,50.327,4868.597,0.424,0,4.109,549.64
2023-01-02T15:00:00Z,STS-U1,9576.202,9220.09,50.848,4968.353,0.213,0,3.862,528.5
2023-01-02T16:00:00Z,STS-U1,9658.23,9129.739,52.228,5454.933,0.743,0,5.789,853.9
2023-01-02T17:00:00Z,STS-U1,9452.273,9097.914,52.92,5528.073,0.322,0,3.895,592.93
2023-01-02T18:00:00Z,STS-U1,9588.754,9070.001,54.371,5811.511,0.33,0,5.719,899.6
2023-01-02T19:00:00Z,STS-U1,9287.094,9062.584,53.765,5677.826,0.098,0,2.477,392.77
2023-01-02T20:00:00Z,STS-U1,9250.209,9063.52,53.957,5650.002,0.013,0,2.06,326.33
2023-01-02T21:00:00Z,STS-U1,9648.177,9078.479,53.347,5776.177,0.192,0,6.275,976.16
2023-01-02T22:00:00Z,STS-U1,9619.543,9098.694,52.608,5617.993,0.232,0,5.724,870.69
2023-01-02T23:00:00Z,STS-U1,9590.355,9135.165,52.086,5385.969,0.365,0,4.983,731.79
2023-01-03T00:00:00Z,STS-U1,9477.575,9166.15,51.521,5162.228,0.273,0,3.398,485.62
2023-01-03T01:00:00Z,STS-U1,9667.55,9208.286,50.438,5062.259,0.333,0,4.988,688.55
2023-01-03T02:00:00Z,STS-U1,9715.352,9236.358,50.614,4970.558,0.203,0,5.186,701.72
2023-01-03T03:00:00Z,STS-U1,9740.064,9215.115,50.872,5074.871,0.153,0,5.697,783.26
2023-01-03T04:00:00Z,STS-U1,9736.112,9258.821,50.133,4886.523,0.307,0,5.155,686.06
2023-01-03T05:00:00Z,STS-U1,9559.782,9247.53,49.993,4840.584,0.076,0,3.377,452.86
2023-01-03T06:00:00Z,STS-U1,9776.056,9288.886,49.776,4788.086,0.273,0,5.245,683.48
2023-01-03T07:00:00Z,STS-U1,9459.817,9283.134,49.868,4654.892,0.037,0,1.903,249.06
2023-01-03T08:00:00Z,STS-U1,9748.557,9313.623,49.536,4682.347,0.19,0,4.67,598.52
2023-01-03T09:00:00Z,STS-U1,9634.669,9334.322,49.192,4552.614,0.124,0,3.218,406.65
2023-01-03T10:00:00Z,STS-U1,9557.52,9349.998,49.086,4462.719,0.091,0,2.219,277.67
2023-01-03T11:00:00Z,STS-U1,9509.862,9363.952,49.014,4394.319,0.08,0,1.558,193.22
2023-01-03T12:00:00Z,STS-U1,9513.14,9369.893,49.206,4378.574,0.034,0,1.529,188.97
2023-01-03T13:00:00Z,STS-U1,9692.59,9302.203,49.634,4697.233,0.399,0,4.197,542.29
2023-01-03T14:00:00Z,STS-U1,9694.175,9266.344,49.91,4834.186,0.23,0,4.617,611.59
2023-01-03T15:00:00Z,STS-U1,9686.144,9218.31,51.125,5035.618,0.333,0,5.075,697.28
2023-01-03T16:00:00Z,STS-U1,9521.131,9128.577,51.87,5380.386,0.741,0,4.3,636.03
2023-01-03T17:00:00Z,STS-U1,9451.397,9090.73,53.54,5578.672,0.391,0,3.967,610.43
2023-01-03T18:00:00Z,STS-U1,9593.144,9075.227,53.189,5764.747,0.184,0,5.707,892.51
2023-01-03T19:00:00Z,STS-U1,9383.885,9065.186,53.114,5711.122,0.129,0,3.516,556.28
2023-01-03T20:00:00Z,STS-U1,9288.826,9068.188,53.573,5635.431,0.04,0,2.433,383.94
2023-01-03T21:00:00Z,STS-U1,9567.748,9077.93,53.666,5734.932,0.123,0,5.396,842.19
2023-01-03T22:00:00Z,STS-U1,9456.785,9097.318,53.045,5535.591,0.224,0,3.951,603.64
2023-01-03T23:00:00Z,STS-U1,9566.092,9121.702,52.101,5446.061,0.252,0,4.872,725.86
2023-01-04T00:00:00Z,STS-U1,9579.226,9152.45,52.079,5290.25,0.284,0,4.663,676.28
2023-01-04T01:00:00Z,STS-U1,9609.982,9204.109,50.658,5052.317,0.418,0,4.41,612.32
2023-01-04T02:00:00Z,STS-U1,9478.64,9213.126,50.604,4944.45,0.067,0,2.882,397.48
2023-01-04T03:00:00Z,STS-U1,9556.161,9233.09,50.361,4899.883,0.144,0,3.499,475.45
2023-01-04T04:00:00Z,STS-U1,9496.53,9247.449,50.396,4812.706,0.1,0,2.694,362.33
2023-01-04T05:00:00Z,STS-U1,9584.674,9226.772,50.919,4945.7,0.145,0,3.879,530.15
2023-01-04T06:00:00Z,STS-U1,9717.466,9257.45,49.975,4880.994,0.213,0,4.969,663.36
2023-01-04T07:00:00Z,STS-U1,9716.606,9284.993,50.268,4778.2,0.18,0,4.649,609.41
2023-01-04T08:00:00Z,STS-U1,9801.05,9315.307,48.891,4695.214,0.189,0,5.214,668.18
2023-01-04T09:00:00Z,STS-U1,9757.12,9340.045,49.076,4589.659,0.147,0,4.465,563.4
2023-01-04T10:00:00Z,STS-U1,9635.32,9359.045,48.987,4468.131,0.11,0,2.952,367.95
2023-01-04T11:00:00Z,STS-U1,9618.257,9378.144,48.309,4391.773,0.107,0,2.56,314.91
2023-01-04T12:00:00Z,STS-U1,9618.378,9355.057,49.5,4478.348,0.13,0,2.815,352.18
2023-01-04T13:00:00Z,STS-U1,9723.794,9329.281,49.873,4618.768,0.15,0,4.229,538.34
2023-01-04T14:00:00Z,STS-U1,9659.356,9239.443,50.663,4929.877,0.576,0,4.545,615.73
2023-01-04T15:00:00Z,STS-U1,9728.697,9188.913,51.433,5190.533,0.373,0,5.874,827.49
2023-01-04T16:00:00Z,STS-U1,9643.673,9145.53,51.862,5359.14,0.363,0,5.447,795.49
2023-01-04T17:00:00Z,STS-U1,9518.89,9100.479,52.33,5545.547,0.44,0,4.598,700.53
2023-01-04T18:00:00Z,STS-U1,9609.581,9064.801,53.957,5859.555,0.426,0,6.01,954.75
2023-01-04T19:00:00Z,STS-U1,9260.294,9066.386,53.659,5632.083,0.021,0,2.139,338.99
2023-01-04T20:00:00Z,STS-U1,9265.98,9067.555,53.606,5626.48,0.015,0,2.188,346.36
2023-01-04T21:00:00Z,STS-U1,9343.259,9073.02,53.567,5633.626,0.07,0,2.978,468.45
2023-01-04T22:00:00Z,STS-U1,9689.912,9093.538,53.099,5696.836,0.243,0,6.558,1008.1
2023-01-04T23:00:00Z,STS-U1,9546.272,9135.142,52.375,5364.092,0.421,0,4.501,664.28
2023-01-05T00:00:00Z,STS-U1,9652.454,9169.759,51.45,5239.396,0.303,0,5.264,753.47
2023-01-05T01:00:00Z,STS-U1,9611.795,9201.977,50.684,5062.827,0.255,0,4.454,620.83
2023-01-05T02:00:00Z,STS-U1,9573.577,9216.64,50.445,4977.603,0.109,0,3.873,533.79
2023-01-05T03:00:00Z,STS-U1,9360.919,9220.994,50.911,4853.565,0.032,0,1.517,208.69
2023-01-05T04:00:00Z,STS-U1,9438.161,9229.805,50.573,4854.576,0.063,0,2.257,308.3
2023-01-05T05:00:00Z,STS-U1,9546.135,9255.219,50.315,4806.788,0.176,0,3.143,421.45
2023-01-05T06:00:00Z,STS-U1,9373.631,9267.213,49.998,4671.936,0.08,0,1.148,152.61
2023-01-05T07:00:00Z,STS-U1,9806.608,9315.22,49.101,4700.238,0.304,0,5.275,677.73
2023-01-05T08:00:00Z,STS-U1,9457.902,9305.537,49.564,4571.129,0.059,0,1.637,211.93
2023-01-05T09:00:00Z,STS-U1,9671.126,9355.15,48.929,4497.074,0.295,0,3.378,422.88
2023-01-05T10:00:00Z,STS-U1,9524.841,9344.463,48.811,4463.156,0.062,0,1.93,243.29
2023-01-05T11:00:00Z,STS-U1,9714.237,9371.006,48.814,4463.684,0.151,0,3.663,454.01
2023-01-05T12:00:00Z,STS-U1,9523.935,9361.921,49.305,4410.176,0.051,0,1.731,215.99
2023-01-05T13:00:00Z,STS-U1,9837.199,9318.932,49.208,4702.683,0.251,0,5.561,713.35
2023-01-05T14:00:00Z,STS-U1,9836.136,9280.545,50.142,4852.586,0.239,0,5.987,789.26
2023-01-05T15:00:00Z,STS-U1,9644.069,9191.122,51.245,5133.562,0.631,0,4.928,694.32
2023-01-05T16:00:00Z,STS-U1,9672.614,9124.615,52.695,5496.009,0.574,0,6.006,896.76
2023-01-05T17:00:00Z,STS-U1,9547.264,9087.494,53.6,5657.012,0.39,0,5.059,784.66
2023-01-05T18:00:00Z,STS-U1,9395.044,9082.644,53.809,5600.761,0.057,0,3.44,536.46
2023-01-05T19:00:00Z,STS-U1,9586.244,9050.055,54.333,5969.896,0.435,0,5.925,961.95
2023-01-05T20:00:00Z,STS-U1,9395.897,9054.859,54.064,5808.496,0.072,0,3.766,607.41
2023-01-05T21:00:00Z,STS-U1,9516.352,9082.491,53.651,5672.609,0.362,0,4.777,745.17
2023-01-05T22:00:00Z,STS-U1,9585.475,9094.298,53.382,5633.283,0.136,0,5.401,831.81
2023-01-05T23:00:00Z,STS-U1,9579.561,9135.992,51.896,5373.68,0.421,0,4.855,717.07
2023-01-06T00:00:00Z,STS-U1,9582.352,9169.321,51.204,5201.08,0.291,0,4.504,646.13
2023-01-06T01:00:00Z,STS-U1,9673.616,9205.492,51.005,5083.071,0.285,0,5.085,709.01
2023-01-06T02:00:00Z,STS-U1,9597.99,9224.529,50.783,4960.543,0.14,0,4.049,556.4
2023-01-06T03:00:00Z,STS-U1,9372.376,9230.483,50.211,4814.635,0.043,0,1.537,210.14
2023-01-06T04:00:00Z,STS-U1,9615.832,9247.646,49.894,4867.559,0.12,0,3.981,537.36
2023-01-06T05:00:00Z,STS-U1,9597.069,9265.563,49.398,4783.821,0.121,0,3.578,476.48
2023-01-06T06:00:00Z,STS-U1,9585.574,9278.7,49.846,4732.98,0.086,0,3.307,436.95
2023-01-06T07:00:00Z,STS-U1,9403.299,9282.68,49.91,4629.117,0.026,0,1.299,171.25
2023-01-06T08:00:00Z,STS-U1,9747.661,9307.621,50.153,4709.414,0.157,0,4.728,613.19
2023-01-06T09:00:00Z,STS-U1,9842.977,9336.936,49.178,4641.812,0.176,0,5.42,688.37
2023-01-06T10:00:00Z,STS-U1,9761.123,9366.787,49.02,4501.114,0.172,0,4.21,524.57
2023-01-06T11:00:00Z,STS-U1,9735.123,9393.982,48.838,4399.495,0.15,0,3.631,444.79
2023-01-06T12:00:00Z,STS-U1,9723.081,9366.252,48.593,4481.185,0.153,0,3.81,474.51
2023-01-06T13:00:00Z,STS-U1,9780.395,9306.778,49.259,4719.526,0.35,0,5.089,659.49
2023-01-06T14:00:00Z,STS-U1,9716.923,9276.331,49.936,4807.652,0.192,0,4.75,629.1
2023-01-06T15:00:00Z,STS-U1,9592.994,9204.545,51.3,5047.646,0.501,0,4.22,589.91
2023-01-06T16:00:00Z,STS-U1,9750.379,9144.549,52.019,5425.101,0.492,0,6.625,972.96
2023-01-06T17:00:00Z,STS-U1,9630.699,9099.835,53.3,5624.04,0.438,0,5.834,894.89
2023-01-06T18:00:00Z,STS-U1,9515.969,9070.035,53.73,5761.052,0.35,0,4.917,779.39
2023-01-06T19:00:00Z,STS-U1,9381.888,9062.441,54.311,5742.001,0.101,0,3.525,564.48
2023-01-06T20:00:00Z,STS-U1,9309.563,9065.35,54.084,5673.695,0.039,0,2.694,429.76
2023-01-06T21:00:00Z,STS-U1,9447.905,9078.352,53.571,5659.281,0.166,0,4.071,639.23
2023-01-06T22:00:00Z,STS-U1,9585.22,9106.85,52.278,5544.871,0.32,0,5.253,799.19
2023-01-06T23:00:00Z,STS-U1,9536.988,9130.744,52.155,5380.324,0.237,0,4.449,661.94
2023-01-07T00:00:00Z,STS-U1,9652.356,9260.877,50.241,4837.562,1.018,0,4.227,566.73
2023-01-07T01:00:00Z,STS-U1,9743.1,9305.447,49.694,4710.569,0.286,0,4.703,611.26
2023-01-07T02:00:00Z,STS-U1,9616.704,9318.267,49.791,4605.203,0.078,0,3.203,412.89
2023-01-07T03:00:00Z,STS-U1,9500.461,9329.982,49.254,4504.428,0.07,0,1.827,233.54
2023-01-07T04:00:00Z,STS-U1,9797.736,9364.934,49.091,4524.841,0.202,0,4.622,577.57
2023-01-07T05:00:00Z,STS-U1,9535.468,9351.183,48.413,4442.096,0.078,0,1.971,248.09
2023-01-07T06:00:00Z,STS-U1,9772.228,9376.037,48.454,4470.355,0.141,0,4.226,523.8
2023-01-07T07:00:00Z,STS-U1,9901.082,9400.168,48.767,4453.894,0.132,0,5.329,651.29
2023-01-07T08:00:00Z,STS-U1,9846.888,9455.646,47.736,4248.364,0.289,0,4.138,487.94
2023-01-07T09:00:00Z,STS-U1,9638.492,9465.297,47.239,4125.609,0.048,0,1.83,214.31
2023-01-07T10:00:00Z,STS-U1,9887.769,9527.403,46.507,4046.593,0.301,0,3.782,426.39
2023-01-07T11:00:00Z,STS-U1,9685.783,9524.077,47.199,3979.723,0.016,0,1.698,192.11
2023-01-07T12:00:00Z,STS-U1,9638.067,9529.362,46.816,3942.067,0.025,0,1.141,128.57
2023-01-07T13:00:00Z,STS-U1,9789.983,9452.003,47.749,4234.778,0.377,0,3.576,422.8
2023-01-07T14:00:00Z,STS-U1,9792.357,9373.656,48.881,4491.539,0.416,0,4.467,555.45
2023-01-07T15:00:00Z,STS-U1,9617.632,9291.977,49.66,4698.09,0.484,0,3.505,460.13
2023-01-07T16:00:00Z,STS-U1,9580.426,9220.918,50.972,4968.275,0.48,0,3.899,539.32
2023-01-07T17:00:00Z,STS-U1,9634.623,9165.109,51.265,5250.35,0.434,0,5.123,740.21
2023-01-07T18:00:00Z,STS-U1,9536.576,9122.863,51.547,5417.482,0.381,0,4.535,679.98
2023-01-07T19:00:00Z,STS-U1,9218.902,9124.471,52.533,5237.485,0.016,0,1.035,155.24
2023-01-07T20:00:00Z,STS-U1,9621.87,9108.839,53.002,5561.11,0.156,0,5.632,858.06
2023-01-07T21:00:00Z,STS-U1,9662.696,9134.84,51.869,5426.248,0.254,0,5.778,857.89
2023-01-07T22:00:00Z,STS-U1,9603.398,9172.76,51.31,5197.175,0.33,0,4.695,674.54
2023-01-07T23:00:00Z,STS-U1,9640.697,9227.467,50.759,4970.192,0.418,0,4.478,616.66
2023-01-08T00:00:00Z,STS-U1,9667.659,9254.677,49.617,4863.356,0.189,0,4.462,601.42
2023-01-08T01:00:00Z,STS-U1,9681.282,9291.67,49.35,4727.302,0.242,0,4.193,550.79
2023-01-08T02:00:00Z,STS-U1,9665.196,9322.668,50.232,4617.308,0.191,0,3.674,473.79
2023-01-08T03:00:00Z,STS-U1,9522.702,9320.418,49.046,4545.677,0.014,0,2.17,279.61
2023-01-08T04:00:00Z,STS-U1,9578.094,9332.731,48.933,4528.792,0.074,0,2.629,335.97
2023-01-08T05:00:00Z,STS-U1,9658.627,9356.477,48.301,4480.798,0.138,0,3.229,405.97
2023-01-08T06:00:00Z,STS-U1,9714.748,9377.953,48.591,4439.182,0.121,0,3.591,445.76
2023-01-08T07:00:00Z,STS-U1,9617.51,9395.454,47.79,4331.65,0.096,0,2.363,289.71
2023-01-08T08:00:00Z,STS-U1,9794.383,9430.55,48.786,4311.574,0.186,0,3.858,463.99
2023-01-08T09:00:00Z,STS-U1,9850.096,9468.67,47.943,4213.162,0.194,0,4.028,472.68
2023-01-08T10:00:00Z,STS-U1,9786.068,9489.824,47.444,4119.687,0.104,0,3.122,361.35
2023-01-08T11:00:00Z,STS-U1,9625.084,9509.999,47.33,3994.61,0.097,0,1.21,138.41
2023-01-08T12:00:00Z,STS-U1,9784.261,9489.701,47.384,4118.692,0.098,0,3.104,359.35
2023-01-08T13:00:00Z,STS-U1,9624.721,9468.86,47.809,4114.927,0.103,0,1.646,193.13
2023-01-08T14:00:00Z,STS-U1,9832.56,9374.35,49.449,4513.276,0.497,0,4.888,609.64
2023-01-08T15:00:00Z,STS-U1,9788.172,9299.339,49.169,4749.468,0.442,0,5.257,687.59
2023-01-08T16:00:00Z,STS-U1,9584.024,9234.009,51.161,4918.11,0.432,0,3.79,520.72
2023-01-08T17:00:00Z,STS-U1,9629.863,9148.147,52.223,5341.479,0.674,0,5.266,774.7
2023-01-08T18:00:00Z,STS-U1,9518.93,9130.601,52.116,5370.532,0.16,0,4.253,635.29
2023-01-08T19:00:00Z,STS-U1,9527.317,9099.824,53.63,5566.88,0.31,0,4.698,724.36
2023-01-08T20:00:00Z,STS-U1,9519.281,9117.49,52.966,5451.369,0.183,0,4.407,667.3
2023-01-08T21:00:00Z,STS-U1,9518.546,9128.721,52.055,5379.906,0.109,0,4.27,639.05
2023-01-08T22:00:00Z,STS-U1,9589.982,9166.345,51.512,5222.431,0.335,0,4.622,669.19
2023-01-08T23:00:00Z,STS-U1,9618.872,9190.34,51.182,5123.073,0.194,0,4.663,662.11
2023-01-09T00:00:00Z,STS-U1,9576.396,9170.449,51.403,5194.387,0.16,0,4.427,638.82
2023-01-09T01:00:00Z,STS-U1,9616.089,9212.686,50.917,5021.039,0.33,0,4.379,611.16
2023-01-09T02:00:00Z,STS-U1,9498.128,9225.375,50.972,4907.26,0.092,0,2.957,408.91
2023-01-09T03:00:00Z,STS-U1,9729.896,9252.724,50.276,4908.8,0.191,0,5.157,698.62
2023-01-09T04:00:00Z,STS-U1,9554.041,9238.03,50.669,4881.836,0.101,0,3.421,468.63
2023-01-09T05:00:00Z,STS-U1,9564.122,9254.988,50.419,4817.734,0.116,0,3.34,451.98
2023-01-09T06:00:00Z,STS-U1,9309.19,9248.652,50.054,4709.98,0.043,0,0.655,88.91
2023-01-09T07:00:00Z,STS-U1,9832.625,9303.488,49.147,4755.616,0.356,0,5.688,742.95
2023-01-09T08:00:00Z,STS-U1,9570.826,9322.66,49.52,4565.444,0.117,0,2.662,343.69
2023-01-09T09:00:00Z,STS-U1,9523.542,9341.757,49.818,4481.142,0.113,0,1.946,248.36
2023-01-09T10:00:00Z,STS-U1,9686.442,9364.902,49.328,4475.846,0.133,0,3.433,431.44
2023-01-09T11:00:00Z,STS-U1,9615.52,9346.667,48.341,4493.744,0.104,0,2.876,364.89
2023-01-09T12:00:00Z,STS-U1,9318.131,9346.52,48.821,4359.712,0.001,0,-0.304,0.0
2023-01-09T13:00:00Z,STS-U1,9854.603,9310.239,49.272,4742.894,0.216,0,5.847,761.0
2023-01-09T14:00:00Z,STS-U1,9765.238,9257.261,50.14,4907.347,0.34,0,5.487,741.54
2023-01-09T15:00:00Z,STS-U1,9661.387,9206.091,51.113,5075.078,0.363,0,4.946,694.81
2023-01-09T16:00:00Z,STS-U1,9572.338,9123.938,52.049,5436.616,0.695,0,4.915,739.92
2023-01-09T17:00:00Z,STS-U1,9540.367,9088.437,53.455,5645.339,0.373,0,4.973,777.04
2023-01-09T18:00:00Z,STS-U1,9554.106,9061.521,53.932,5851.009,0.337,0,5.436,876.61
2023-01-09T19:00:00Z,STS-U1,9126.525,9061.82,53.97,5587.254,0.004,0,0.714,115.12
2023-01-09T20:00:00Z,STS-U1,9251.577,9066.509,54.202,5630.906,0.063,0,2.041,327.38
2023-01-09T21:00:00Z,STS-U1,9300.819,9073.043,53.574,5607.929,0.084,0,2.51,399.2
2023-01-09T22:00:00Z,STS-U1,9601.538,9097.466,53.045,5619.389,0.286,0,5.541,857.6
2023-01-09T23:00:00Z,STS-U1,9586.159,9130.257,52.514,5414.144,0.332,0,4.993,748.58
2023-01-10T00:00:00Z,STS-U1,9642.431,9174.101,51.729,5215.981,0.384,0,5.105,736.58
2023-01-10T01:00:00Z,STS-U1,9583.828,9197.308,51.531,5076.708,0.184,0,4.203,595.35
2023-01-10T02:00:00Z,STS-U1,9650.648,9228.343,50.647,4970.616,0.23,0,4.576,632.53
2023-01-10T03:00:00Z,STS-U1,9430.623,9223.59,51.293,4882.68,0.034,0,2.245,311.74
2023-01-10T04:00:00Z,STS-U1,9622.818,9241.918,50.829,4902.896,0.13,0,4.121,564.47
2023-01-10T05:00:00Z,STS-U1,9510.054,9249.68,50.145,4808.463,0.053,0,2.815,382.94
2023-01-10T06:00:00Z,STS-U1,9495.332,9263.695,50.106,4746.888,0.094,0,2.5,336.87
2023-01-10T07:00:00Z,STS-U1,9465.511,9276.92,49.938,4681.106,0.087,0,2.033,271.34
2023-01-10T08:00:00Z,STS-U1,9656.133,9316.477,49.296,4625.582,0.248,0,3.646,473.41
2023-01-10T09:00:00Z,STS-U1,9639.337,9335.888,48.798,4545.688,0.116,0,3.25,416.4
2023-01-10T10:00:00Z,STS-U1,9648.014,9351.74,48.754,4495.963,0.092,0,3.168,401.78
2023-01-10T11:00:00Z,STS-U1,9506.685,9365.997,48.543,4381.794,0.081,0,1.502,188.72
2023-01-10T12:00:00Z,STS-U1,9620.144,9373.291,48.719,4412.164,0.041,0,2.634,329.53
2023-01-10T13:00:00Z,STS-U1,9766.017,9324.506,49.483,4651.697,0.282,0,4.735,612.16
2023-01-10T14:00:00Z,STS-U1,9639.8,9251.336,50.195,4868.014,0.466,0,4.199,571.08
2023-01-10T15:00:00Z,STS-U1,9656.187,9188.126,51.541,5156.472,0.461,0,5.094,727.7
2023-01-10T16:00:00Z,STS-U1,9543.913,9128.491,52.468,5399.434,0.514,0,4.551,684.31
2023-01-10T17:00:00Z,STS-U1,9681.109,9099.927,52.915,5649.182,0.289,0,6.387,987.54
2023-01-10T18:00:00Z,STS-U1,9465.806,9078.329,53.708,5671.449,0.247,0,4.268,676.09
2023-01-10T19:00:00Z,STS-U1,9591.277,9057.266,54.732,5915.73,0.277,0,5.896,959.27
2023-01-10T20:00:00Z,STS-U1,9411.278,9060.982,53.797,5766.468,0.052,0,3.866,625.17
2023-01-10T21:00:00Z,STS-U1,9448.276,9069.27,53.182,5720.487,0.111,0,4.179,668.44
2023-01-10T22:00:00Z,STS-U1,9593.492,9102.469,52.985,5583.029,0.388,0,5.394,832.47
2023-01-10T23:00:00Z,STS-U1,9606.14,9127.052,52.368,5441.594,0.248,0,5.249,790.69
2023-01-11T00:00:00Z,STS-U1,9625.443,9169.561,51.235,5223.619,0.378,0,4.972,720.87
2023-01-11T01:00:00Z,STS-U1,9722.556,9194.634,51.725,5164.098,0.2,0,5.742,817.1
2023-01-11T02:00:00Z,STS-U1,9632.928,9216.552,50.853,5012.76,0.165,0,4.518,631.44
2023-01-11T03:00:00Z,STS-U1,9292.605,9216.713,50.876,4835.222,0.001,0,0.823,115.09
2023-01-11T04:00:00Z,STS-U1,9336.308,9220.041,50.761,4843.28,0.024,0,1.261,175.8
2023-01-11T05:00:00Z,STS-U1,9704.977,9263.639,50.516,4855.882,0.303,0,4.764,643.71
2023-01-11T06:00:00Z,STS-U1,9425.961,9264.996,50.512,4711.154,0.009,0,1.737,234.54
2023-01-11T07:00:00Z,STS-U1,9721.294,9298.515,50.055,4728.629,0.216,0,4.547,599.58
2023-01-11T08:00:00Z,STS-U1,9491.351,9295.112,50.361,4631.814,0.021,0,2.111,279.24
2023-01-11T09:00:00Z,STS-U1,9769.563,9344.303,50.122,4591.177,0.297,0,4.551,582.78
2023-01-11T10:00:00Z,STS-U1,9426.423,9355.476,49.202,4384.807,0.064,0,0.758,96.25
2023-01-11T11:00:00Z,STS-U1,9749.529,9397.664,47.823,4384.426,0.235,0,3.744,461.51
2023-01-11T12:00:00Z,STS-U1,9845.362,9348.888,49.461,4604.594,0.272,0,5.311,677.29
2023-01-11T13:00:00Z,STS-U1,9844.166,9317.965,49.645,4713.777,0.183,0,5.647,735.02
2023-01-11T14:00:00Z,STS-U1,9605.835,9249.865,50.326,4857.902,0.437,0,3.848,525.2
