date,unit_id,coal_cost_actual,coal_cost_reference,fuel_overburn_cost
2023-06-27,STS-U1,370927.18,352629.92,7318.9
2023-06-28,STS-U1,364320.21,346219.57,7240.26
2023-06-29,STS-U1,367506.5,349808.39,7079.24
2023-06-30,STS-U1,370844.04,352030.67,7525.35
2023-07-01,STS-U1,281016.12,270916.59,4039.81
2023-07-02,STS-U1,279583.0,270739.67,3537.33
2023-07-03,STS-U1,298051.41,288380.61,3877.76
2023-07-04,STS-U1,298363.78,288690.9,3883.14
2023-07-05,STS-U1,296415.19,286622.72,3916.99
2023-07-06,STS-U1,299153.62,288576.34,4230.91
2023-07-07,STS-U1,299250.89,288160.25,4436.26
2023-07-08,STS-U1,275408.11,267281.49,3250.89
2023-07-09,STS-U1,273654.49,265795.93,3178.96
2023-07-10,STS-U1,295084.43,284272.11,4324.93
2023-07-11,STS-U1,298601.33,288011.79,4235.82
2023-07-12,STS-U1,296146.23,285473.21,4269.21
2023-07-13,STS-U1,291675.94,281506.31,4076.41
2023-07-14,STS-U1,291732.73,282292.02,3776.28
2023-07-15,STS-U1,271761.25,263563.25,3279.2
2023-07-16,STS-U1,273975.62,264825.1,3705.18
2023-07-17,STS-U1,291614.9,282174.73,3782.39
2023-07-18,STS-U1,296974.42,286024.95,4379.79
2023-07-19,STS-U1,288327.25,278384.83,3976.97
2023-07-20,STS-U1,289932.41,280751.32,3672.44
2023-07-21,STS-U1,290131.89,280815.68,3726.48
2023-07-22,STS-U1,270326.43,261507.59,3527.53
2023-07-23,STS-U1,269579.52,261087.58,3396.78
2023-07-24,STS-U1,288952.69,278606.66,4138.41
2023-07-25,STS-U1,288230.09,279194.31,3614.31
2023-07-26,STS-U1,286632.68,277424.9,3703.82
2023-07-27,STS-U1,290513.88,280149.41,4145.79
2023-07-28,STS-U1,286698.03,276469.64,4091.36
2023-07-29,STS-U1,263686.76,255499.51,3283.33
2023-07-30,STS-U1,265843.38,257857.11,3202.18
2023-07-31,STS-U1,286034.82,275312.96,4288.75
2023-08-01,STS-U1,289950.82,279656.4,4117.77
2023-08-02,STS-U1,287046.77,277807.84,3695.57
2023-08-03,STS-U1,286753.59,278311.39,3388.6
2023-08-04,STS-U1,286038.12,276974.15,3634.4
2023-08-05,STS-U1,262257.44,254031.54,3293.19
2023-08-06,STS-U1,264598.09,255372.55,3690.22
2023-08-07,STS-U1,282655.72,273827.4,3564.23
2023-08-08,STS-U1,282330.94,273157.74,3687.63
2023-08-09,STS-U1,281360.74,271576.6,3913.66
2023-08-10,STS-U1,279932.34,270358.72,3829.45
2023-08-11,STS-U1,280912.39,271656.27,3702.45
2023-08-12,STS-U1,260748.56,251814.9,3573.46
2023-08-13,STS-U1,262742.87,253018.87,3889.6
2023-08-14,STS-U1,280427.8,271084.51,3739.27
2023-08-15,STS-U1,278750.33,269969.4,3512.37
2023-08-16,STS-U1,279299.66,269735.89,3825.51
2023-08-17,STS-U1,282638.8,272866.47,3908.93
2023-08-18,STS-U1,280526.14,270947.8,3831.34
2023-08-19,STS-U1,257627.69,249871.58,3102.44
2023-08-20,STS-U1,258789.98,250319.13,3396.61
2023-08-21,STS-U1,278007.0,268926.38,3632.25
2023-08-22,STS-U1,278258.07,268919.45,3735.45
2023-08-23,STS-U1,276623.43,268027.85,3438.23
2023-08-24,STS-U1,277891.26,268677.93,3685.34
2023-08-25,STS-U1,277644.19,267185.86,4183.33
2023-08-26,STS-U1,259528.42,250729.75,3522.86
2023-08-27,STS-U1,254000.31,244800.12,3680.08
2023-08-28,STS-U1,275515.5,267050.29,3386.08
2023-08-29,STS-U1,276132.82,267006.62,3668.6
2023-08-30,STS-U1,276591.61,266868.9,3889.09
2023-08-31,STS-U1,277756.05,266683.03,4429.21
2023-09-01,STS-U1,271917.34,262957.52,3588.59
2023-09-02,STS-U1,253854.04,245737.57,3260.72
2023-09-03,STS-U1,252752.47,244495.35,3302.85
2023-09-04,STS-U1,270154.62,261087.03,3641.69
2023-09-05,STS-U1,0.0,0.0,0.0
2023-09-06,STS-U1,0.0,0.0,0.0
2023-09-07,STS-U1,0.0,0.0,0.0
2023-09-08,STS-U1,0.0,0.0,0.0
2023-09-09,STS-U1,0.0,0.0,0.0
2023-09-10,STS-U1,0.0,0.0,0.0
2023-09-11,STS-U1,0.0,0.0,0.0
2023-09-12,STS-U1,271329.04,262000.08,3731.58
2023-09-13,STS-U1,274386.58,264770.32,3846.5
2023-09-14,STS-U1,273604.65,263925.13,3871.81
2023-09-15,STS-U1,271901.96,262396.04,3802.37
2023-09-16,STS-U1,250248.17,241671.98,3430.48
2023-09-17,STS-U1,249621.21,241695.09,3170.45
2023-09-18,STS-U1,269921.32,259651.06,4108.1
2023-09-19,STS-U1,273574.15,264116.19,3783.18
2023-09-20,STS-U1,268233.71,259914.41,3362.28
2023-09-21,STS-U1,271444.24,261384.13,4024.04
2023-09-22,STS-U1,270956.55,260773.51,4073.21
2023-09-23,STS-U1,251221.32,242057.14,3665.67
2023-09-24,STS-U1,253831.31,245420.43,3387.31
2023-09-25,STS-U1,274639.06,265242.49,3758.63
2023-09-26,STS-U1,274772.98,264912.88,3944.04
2023-09-27,STS-U1,269670.04,259478.54,4076.6
2023-09-28,STS-U1,272229.46,262156.56,4061.82
2023-09-29,STS-U1,268839.65,259937.56,3560.84
2023-09-30,STS-U1,247284.94,239802.94,2992.8
2023-10-01,STS-U1,264896.52,254870.27,4010.5
2023-10-02,STS-U1,284262.85,272866.34,4558.61
2023-10-03,STS-U1,284664.65,273806.14,4343.4
2023-10-04,STS-U1,286424.95,275050.25,4549.88
2023-10-05,STS-U1,288107.93,276873.67,4493.7
2023-10-06,STS-U1,288259.39,277283.29,4390.44
2023-10-07,STS-U1,268151.06,258282.18,3947.55
2023-10-08,STS-U1,267292.74,257014.22,4111.41
2023-10-09,STS-U1,289904.77,278754.21,4460.23
2023-10-10,STS-U1,285386.2,273677.18,4683.61
2023-10-11,STS-U1,285981.84,274742.93,4495.57
2023-10-12,STS-U1,283952.76,273020.1,4373.06
2023-10-13,STS-U1,284343.17,273700.89,4256.91
2023-10-14,STS-U1,265117.71,255207.77,3963.98
2023-10-15,STS-U1,266575.76,255661.19,4365.83
2023-10-16,STS-U1,287257.56,275749.75,4603.12
2023-10-17,STS-U1,288415.67,276947.22,4587.38
2023-10-18,STS-U1,289973.52,278636.57,4534.78
2023-10-19,STS-U1,289036.01,277983.29,4421.09
2023-10-20,STS-U1,285473.46,274482.41,4396.42
2023-10-21,STS-U1,264181.54,254807.26,3749.71
2023-10-22,STS-U1,267821.9,257844.25,3991.06
2023-10-23,STS-U1,287397.46,277000.26,4197.08
2023-10-24,STS-U1,284468.33,273372.03,4438.52
2023-10-25,STS-U1,288049.06,276350.66,4679.36
2023-10-26,STS-U1,289641.99,277299.1,4937.16
2023-10-27,STS-U1,291130.7,279684.99,4578.28
2023-10-28,STS-U1,266987.97,257891.27,3638.68
2023-10-29,STS-U1,266581.17,256440.39,4056.31
2023-10-30,STS-U1,284935.15,273678.43,4502.69
2023-10-31,STS-U1,285722.44,275724.12,4013.07
2023-11-01,STS-U1,292948.19,281913.75,4413.77
2023-11-02,STS-U1,288728.48,277443.17,4516.69
2023-11-03,STS-U1,292370.24,279985.92,4953.73
2023-11-04,STS-U1,269008.9,258508.9,4200.0
2023-11-05,STS-U1,271276.36,261015.95,4104.17
2023-11-06,STS-U1,294053.63,282886.0,4467.05
2023-11-07,STS-U1,293247.74,282394.16,4341.43
2023-11-08,STS-U1,290013.04,278221.35,4729.87
2023-11-09,STS-U1,289521.03,278851.82,4267.69
2023-11-10,STS-U1,297163.56,285430.18,4693.35
2023-11-11,STS-U1,271611.37,261095.67,4206.28
2023-11-12,STS-U1,268896.62,260253.3,3459.91
2023-11-13,STS-U1,292987.05,281703.97,4513.23
2023-11-14,STS-U1,292597.16,280941.66,4662.2
2023-11-15,STS-U1,289346.66,278030.0,4526.67
2023-11-16,STS-U1,294318.73,282491.24,4731.0
2023-11-17,STS-U1,293809.0,282288.66,4608.14
2023-11-18,STS-U1,274117.04,263950.03,4066.81
2023-11-19,STS-U1,277039.47,267145.31,3957.66
2023-11-20,STS-U1,292926.85,281553.62,4549.29
2023-11-21,STS-U1,298434.52,286604.29,4732.09
2023-11-22,STS-U1,297371.47,286212.49,4466.98
2023-11-23,STS-U1,296034.55,284106.6,4771.18
2023-11-24,STS-U1,295865.13,284284.69,4632.17
2023-11-25,STS-U1,280369.88,269777.85,4236.81
2023-11-26,STS-U1,277719.4,267662.08,4022.93
2023-11-27,STS-U1,297915.51,286514.76,4560.3
2023-11-28,STS-U1,303102.99,290574.75,5011.3
2023-11-29,STS-U1,296302.53,285735.72,4226.72
2023-11-30,STS-U1,301427.7,289347.07,4832.25
2023-12-01,STS-U1,301333.92,288870.52,4985.36
2023-12-02,STS-U1,280480.07,270550.64,3971.77
2023-12-03,STS-U1,280778.89,269931.05,4339.13
2023-12-04,STS-U1,301446.78,289966.41,4592.15
2023-12-05,STS-U1,303912.97,291879.34,4813.46
2023-12-06,STS-U1,304443.26,292590.08,4741.27
2023-12-07,STS-U1,302399.73,290195.95,4881.51
2023-12-08,STS-U1,303543.03,291984.7,4623.33
2023-12-09,STS-U1,281866.03,271744.18,4048.74
2023-12-10,STS-U1,283438.76,273673.5,3906.11
2023-12-11,STS-U1,303673.52,291851.48,4728.82
2023-12-12,STS-U1,305291.25,293334.55,4782.68
2023-12-13,STS-U1,306421.71,293416.45,5202.1
2023-12-14,STS-U1,305446.49,293806.94,4655.82
2023-12-15,STS-U1,307865.89,295536.76,4931.65
2023-12-16,STS-U1,285653.35,275234.66,4167.47
2023-12-17,STS-U1,287860.0,277137.45,4289.02
2023-12-18,STS-U1,309869.4,297166.61,5081.12
2023-12-19,STS-U1,304590.47,293607.07,4393.36
2023-12-20,STS-U1,309962.74,296975.77,5194.79
2023-12-21,STS-U1,308000.53,296617.71,4553.13
2023-12-22,STS-U1,314684.2,302882.69,4720.6
2023-12-23,STS-U1,286305.1,276590.8,3885.72
2023-12-24,STS-U1,288917.2,278186.45,4292.3
2023-12-25,STS-U1,313277.03,300613.25,5065.51
2023-12-26,STS-U1,310498.06,297761.63,5094.57
2023-12-27,STS-U1,316130.48,304299.17,4732.52
2023-12-28,STS-U1,313731.59,302455.73,4510.35
2023-12-29,STS-U1,310372.3,298080.53,4916.7
2023-12-30,STS-U1,292605.1,281268.69,4534.57
2023-12-31,STS-U1,291719.22,281279.52,4175.88
2024-01-01,STS-U1,314458.02,302609.62,4739.36
2024-01-02,STS-U1,315513.35,303152.7,4944.26
2024-01-03,STS-U1,318306.26,306277.62,4811.45
2024-01-04,STS-U1,318612.44,305671.08,5176.55
2024-01-05,STS-U1,316181.5,303598.78,5033.09
2024-01-06,STS-U1,295288.1,283578.57,4683.81
2024-01-07,STS-U1,296544.47,285850.42,4277.62
2024-01-08,STS-U1,319659.1,306294.51,5345.84
2024-01-09,STS-U1,315021.73,302696.44,4930.12
2024-01-10,STS-U1,318342.25,305554.58,5115.07
2024-01-11,STS-U1,320117.29,307167.44,5179.94
2024-01-12,STS-U1,321207.47,308806.42,4960.42
2024-01-13,STS-U1,299543.01,289040.82,4200.88
2024-01-14,STS-U1,298677.45,287428.72,4499.49
2024-01-15,STS-U1,323156.94,310369.76,5114.87
2024-01-16,STS-U1,321784.87,309215.96,5027.56
2024-01-17,STS-U1,325011.35,312779.23,4892.85
2024-01-18,STS-U1,325033.71,312255.16,5111.42
2024-01-19,STS-U1,326017.4,312119.34,5559.22
2024-01-20,STS-U1,303595.98,292852.88,4297.8
2024-01-21,STS-U1,304816.85,293204.28,4645.03
2024-01-22,STS-U1,326948.52,314889.27,4823.7
2024-01-23,STS-U1,324465.78,311866.96,5039.53
2024-01-24,STS-U1,329289.28,316886.3,4961.19
2024-01-25,STS-U1,331383.41,317898.78,5393.85
2024-01-26,STS-U1,330272.76,316449.04,5529.49
2024-01-27,STS-U1,303353.89,292699.11,4261.91
2024-01-28,STS-U1,305918.95,295364.03,4221.97
2024-01-29,STS-U1,330504.49,318056.34,4979.26
2024-01-30,STS-U1,332673.71,319713.26,5184.18
2024-01-31,STS-U1,329625.54,317301.81,4929.49
2024-02-01,STS-U1,331677.32,319053.56,5049.5
2024-02-02,STS-U1,332277.88,320204.76,4853.99
2024-02-03,STS-U1,305583.13,294277.03,4522.44
2024-02-04,STS-U1,308592.39,297452.65,4455.9
2024-02-05,STS-U1,335455.39,321519.93,5574.19
2024-02-06,STS-U1,335816.83,322490.83,5330.4
2024-02-07,STS-U1,333322.24,320295.67,5210.63
2024-02-08,STS-U1,330926.33,318399.47,5010.74
2024-02-09,STS-U1,334776.62,321126.98,5459.86
2024-02-10,STS-U1,312465.19,301202.03,4505.27
2024-02-11,STS-U1,316361.91,302987.42,5349.79
2024-02-12,STS-U1,334375.5,320756.58,5447.57
2024-02-13,STS-U1,337339.22,322959.29,5751.97
2024-02-14,STS-U1,338176.55,324725.7,5380.34
2024-02-15,STS-U1,337412.92,322844.57,5827.34
2024-02-16,STS-U1,337097.73,323318.44,5523.08
2024-02-17,STS-U1,315985.4,304006.9,4791.4
2024-02-18,STS-U1,310023.67,299172.96,4340.28
2024-02-19,STS-U1,339870.64,327401.69,4987.58
2024-02-20,STS-U1,339560.58,326347.08,5285.4
2024-02-21,STS-U1,339814.66,326918.66,5158.4
2024-02-22,STS-U1,343589.9,328846.78,5897.25
2024-02-23,STS-U1,309690.7,278939.75,12300.38
2024-02-24,STS-U1,350617.11,302689.71,19170.96
2024-02-25,STS-U1,332081.44,302695.96,11754.19
2024-02-26,STS-U1,342548.81,329299.56,5299.7
2024-02-27,STS-U1,343216.07,328592.22,5849.54
2024-02-28,STS-U1,342829.92,329789.15,5216.31
2024-02-29,STS-U1,339178.77,325959.41,5287.74
2024-03-01,STS-U1,342216.73,328018.19,5679.42
2024-03-02,STS-U1,314075.21,302691.63,4582.64
2024-03-03,STS-U1,314207.73,302994.93,4493.92
2024-03-04,STS-U1,343210.48,328547.72,5865.1
2024-03-05,STS-U1,342091.1,329542.9,5019.28
2024-03-06,STS-U1,341347.21,328992.35,4977.76
2024-03-07,STS-U1,343736.29,330290.26,5378.41
2024-03-08,STS-U1,345225.22,331686.74,5415.39
2024-03-09,STS-U1,318230.04,307026.22,4481.53
2024-03-10,STS-U1,316661.62,305089.42,4628.88
2024-03-11,STS-U1,349256.2,336082.83,5269.35
2024-03-12,STS-U1,343962.02,330561.94,5360.03
2024-03-13,STS-U1,344574.69,330842.97,5492.69
2024-03-14,STS-U1,344466.33,330920.34,5418.4
2024-03-15,STS-U1,340200.03,327154.35,5218.27
2024-03-16,STS-U1,319406.8,308240.6,4466.48
2024-03-17,STS-U1,221146.23,204268.96,6750.91
2024-03-18,STS-U1,384950.37,332315.09,21054.11
2024-03-19,STS-U1,375849.35,331173.5,17870.34
2024-03-20,STS-U1,340991.98,328888.68,4841.32
2024-03-21,STS-U1,348241.43,334937.07,5321.74
2024-03-22,STS-U1,346483.77,333163.89,5327.95
2024-03-23,STS-U1,317883.79,305879.36,4801.77
2024-03-24,STS-U1,321792.11,309630.48,4864.65
2024-03-25,STS-U1,344723.25,330829.99,5557.31
2024-03-26,STS-U1,343207.88,328853.78,5741.64
2024-03-27,STS-U1,344654.45,331361.69,5317.1
2024-03-28,STS-U1,347267.35,334188.13,5231.69
2024-03-29,STS-U1,347258.96,333516.86,5510.35
2024-03-30,STS-U1,320016.87,308650.62,4546.5
2024-03-31,STS-U1,320623.84,309070.73,4621.24
2024-04-01,STS-U1,403679.99,382807.31,8349.07
2024-04-02,STS-U1,399652.04,380361.87,7716.07
2024-04-03,STS-U1,398816.57,378138.71,8271.15
2024-04-04,STS-U1,399183.61,379715.61,7787.2
2024-04-05,STS-U1,405705.29,385523.26,8072.81
2024-04-06,STS-U1,376975.27,359521.43,6981.54
2024-04-07,STS-U1,377015.24,359383.52,7052.69
2024-04-08,STS-U1,400126.65,378598.25,8611.36
2024-04-09,STS-U1,399802.04,380786.96,7606.03
2024-04-10,STS-U1,399369.78,380784.29,7434.2
2024-04-11,STS-U1,408119.22,387843.99,8110.1
2024-04-12,STS-U1,403625.03,383339.95,8114.03
2024-04-13,STS-U1,373253.29,355272.92,7192.15
2024-04-14,STS-U1,378318.49,360161.52,7262.79
2024-04-15,STS-U1,397575.46,375072.43,9001.21
2024-04-16,STS-U1,397768.85,378274.78,7797.63
2024-04-17,STS-U1,400916.32,380481.82,8173.8
2024-04-18,STS-U1,401616.49,381667.63,7979.54
2024-04-19,STS-U1,397262.0,377007.61,8101.76
2024-04-20,STS-U1,371346.1,354745.33,6640.31
2024-04-21,STS-U1,372362.5,355715.5,6658.8
2024-04-22,STS-U1,399990.79,380651.46,7735.73
2024-04-23,STS-U1,394827.01,376701.31,7250.28
2024-04-24,STS-U1,397107.98,377409.74,7879.3
2024-04-25,STS-U1,402453.59,382605.74,7939.14
2024-04-26,STS-U1,402227.3,380989.53,8495.11
2024-04-27,STS-U1,371495.71,352561.66,7573.62
2024-04-28,STS-U1,372478.92,355726.01,6701.16
2024-04-29,STS-U1,396116.72,376268.0,7939.49
2024-04-30,STS-U1,398261.23,377559.35,8280.75
2024-05-01,STS-U1,394344.91,375532.42,7525.0
2024-05-02,STS-U1,396369.13,376694.85,7869.71
2024-05-03,STS-U1,398145.84,378507.88,7855.18
2024-05-04,STS-U1,369943.24,352648.63,6917.85
2024-05-05,STS-U1,373078.97,355268.84,7124.05
2024-05-06,STS-U1,394285.36,374586.93,7879.37
2024-05-07,STS-U1,396481.39,376719.37,7904.81
2024-05-08,STS-U1,392968.43,373184.4,7913.61
2024-05-09,STS-U1,393491.37,374822.65,7467.49
2024-05-10,STS-U1,389406.5,370569.92,7534.63
2024-05-11,STS-U1,364034.51,346358.76,7070.3
2024-05-12,STS-U1,370284.65,349904.03,8152.25
