date,unit_id,availability_factor,capacity_payment_actual,capacity_payment_potential,availability_penalty
2023-02-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-02-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-03,STS-U1,0.9872,315917.51,320000.0,0.0
2023-03-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-05,STS-U1,0.993,317745.79,320000.0,0.0
2023-03-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-09,STS-U1,0.814,260484.85,320000.0,20636.36
2023-03-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-03-31,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-03,STS-U1,0.9817,314156.57,320000.0,0.0
2023-04-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-04-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-12,STS-U1,0.3438,110000.0,320000.0,110000.0
2023-05-13,STS-U1,0.9882,316235.69,320000.0,0.0
2023-05-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-24,STS-U1,0.9913,317222.22,320000.0,0.0
2023-05-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-05-31,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-06-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-07-15,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-16,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-17,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-18,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-19,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-20,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-21,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-22,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-23,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-24,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-25,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-26,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-27,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-28,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-29,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-30,STS-U1,0.9318,298181.82,320000.0,0.0
2023-07-31,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-01,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-02,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-03,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-04,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-05,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-06,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-07,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-08,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-09,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-10,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-11,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-12,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-13,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-14,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-15,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-16,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-17,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-18,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-19,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-20,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-21,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-22,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-23,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-24,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-25,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-26,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-27,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-28,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-29,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-30,STS-U1,0.9318,298181.82,320000.0,0.0
2023-08-31,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-01,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-02,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-03,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-04,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-05,STS-U1,0.0,0.0,320000.0,0.0
2023-09-06,STS-U1,0.0,0.0,320000.0,0.0
2023-09-07,STS-U1,0.0,0.0,320000.0,0.0
2023-09-08,STS-U1,0.0,0.0,320000.0,0.0
2023-09-09,STS-U1,0.0,0.0,320000.0,0.0
2023-09-10,STS-U1,0.0,0.0,320000.0,0.0
2023-09-11,STS-U1,0.0,0.0,320000.0,0.0
2023-09-12,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-13,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-14,STS-U1,0.9318,298181.82,320000.0,0.0
2023-09-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-27,STS-U1,0.9838,314823.23,320000.0,0.0
2023-09-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-09-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-10-31,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-04,STS-U1,0.9898,316737.37,320000.0,0.0
2023-11-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-08,STS-U1,0.9902,316848.48,320000.0,0.0
2023-11-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-23,STS-U1,0.9744,311818.18,320000.0,0.0
2023-11-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-11-30,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-01,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-02,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-03,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-04,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-05,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-06,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-07,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-08,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-09,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-10,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-11,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-12,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-13,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-14,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-15,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-16,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-17,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-18,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-19,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-20,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-21,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-22,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-23,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-24,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-25,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-26,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-27,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-28,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-29,STS-U1,1.0,320000.0,320000.0,0.0
2023-12-30,STS-U1,0.9881,316181.82,320000.0,0.0
2023-12-31,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-01,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-02,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-03,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-04,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-05,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-06,STS-U1,0.987,315826.6,320000.0,0.0
2024-01-07,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-08,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-09,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-10,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-11,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-12,STS-U1,0.9735,311515.15,320000.0,0.0
2024-01-13,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-14,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-15,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-16,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-17,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-18,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-19,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-20,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-21,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-22,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-23,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-24,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-25,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-26,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-27,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-28,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-29,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-30,STS-U1,1.0,320000.0,320000.0,0.0
2024-01-31,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-01,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-02,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-03,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-04,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-05,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-06,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-07,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-08,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-09,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-10,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-11,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-12,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-13,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-14,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-15,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-16,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-17,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-18,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-19,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-20,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-21,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-22,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-23,STS-U1,0.8264,264444.44,320000.0,17666.67
2024-02-24,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-25,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-26,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-27,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-28,STS-U1,1.0,320000.0,320000.0,0.0
2024-02-29,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-01,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-02,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-03,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-04,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-05,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-06,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-07,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-08,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-09,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-10,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-11,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-12,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-13,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-14,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-15,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-16,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-17,STS-U1,0.6458,206666.67,320000.0,61000.0
2024-03-18,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-19,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-20,STS-U1,1.0,320000.0,320000.0,0.0
2024-03-21,STS-U1,1.0,320000.0,320000.0,0.0
