email_id,timestamp,from_role,to_role,subject,body,linked_event_id,standard_event_id_truth
EML-00011,2023-11-18T06:13:00Z,Control Room Operator,Reliability Engineer,Fuel moisture concerns,Event EVT-2024-09-PM2 recap: category=Planned Maintenance. Please review STS-U1-CTF-BANK1. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-09-PM2,EVT-2024-09-PM2
EML-00012,2024-05-30T18:19:00Z,Shift Supervisor,Maintenance Planner,Planned outage scope,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00013,2024-11-29T21:21:00Z,Maintenance Planner,Performance Analyst,Turbine vibration investigation,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00014,2024-04-08T17:41:00Z,Reliability Engineer,Shift Supervisor,Draft instability follow-up,Event EVT-DRAFT-20240902-23 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240902-23,EVT-DRAFT-20240902-23
EML-00015,2023-02-02T10:48:00Z,Shift Supervisor,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00016,2023-12-19T00:24:00Z,Maintenance Planner,Performance Analyst,Planned outage scope,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00017,2024-11-30T13:47:00Z,Reliability Engineer,Shift Supervisor,Controls issue review,Event EVT-2024-02-TB-VIB recap: category=Turbine-side. Please review STS-U1-TB-BRG2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-02-TB-VIB,EVT-2024-02-TB-VIB
EML-00018,2023-07-18T22:50:00Z,Shift Supervisor,Control Room Operator,Fuel moisture concerns,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00019,2023-01-26T07:05:00Z,Shift Supervisor,Performance Analyst,Turbine vibration investigation,Event EVT-DRAFT-20240724-21 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240724-21,EVT-DRAFT-20240724-21
EML-00020,2023-05-18T12:11:00Z,Shift Supervisor,Control Room Operator,Planned outage scope,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00021,2023-07-16T18:29:00Z,Shift Supervisor,Maintenance Planner,Draft instability follow-up,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00022,2024-10-19T17:55:00Z,Maintenance Planner,Control Room Operator,Planned outage scope,Event EVT-DRAFT-20230403-04 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230403-04,EVT-DRAFT-20230403-04
EML-00023,2023-11-21T20:41:00Z,Maintenance Planner,Control Room Operator,Fuel moisture concerns,Event EVT-DRAFT-20240902-23 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240902-23,EVT-DRAFT-20240902-23
EML-00024,2023-09-13T23:16:00Z,Performance Analyst,Maintenance Planner,Turbine vibration investigation,Event EVT-DRAFT-20230403-04 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230403-04,EVT-DRAFT-20230403-04
EML-00025,2023-02-16T10:27:00Z,Performance Analyst,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20231108-09 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231108-09,EVT-DRAFT-20231108-09
EML-00026,2023-06-19T03:17:00Z,Shift Supervisor,Control Room Operator,Draft instability follow-up,Event EVT-DRAFT-20230403-04 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230403-04,EVT-DRAFT-20230403-04
EML-00027,2023-04-07T02:01:00Z,Shift Supervisor,Performance Analyst,Draft instability follow-up,Event EVT-DRAFT-20240415-15 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240415-15,EVT-DRAFT-20240415-15
EML-00028,2024-10-21T22:36:00Z,Control Room Operator,Maintenance Planner,Cooling performance issue,Event EVT-2024-06-AUXDRIFT recap: category=Cooling constraints. Please review STS-U1-CTF-BANK1. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-06-AUXDRIFT,EVT-2024-06-AUXDRIFT
EML-00029,2024-01-12T15:29:00Z,Shift Supervisor,Reliability Engineer,Controls issue review,Event EVT-2023-07-WETCOAL recap: category=Fuel quality. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-07-WETCOAL,EVT-2023-07-WETCOAL
EML-00030,2024-12-18T07:49:00Z,Maintenance Planner,Shift Supervisor,Cooling performance issue,Event EVT-DRAFT-20231108-09 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231108-09,EVT-DRAFT-20231108-09
EML-00031,2023-10-16T17:31:00Z,Performance Analyst,Maintenance Planner,Cooling performance issue,Event EVT-2023-09-PM1 recap: category=Planned Maintenance. Please review STS-U1-SH-OUT. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-09-PM1,EVT-2023-09-PM1
EML-00032,2023-12-25T18:43:00Z,Reliability Engineer,Control Room Operator,Planned outage scope,Event EVT-2023-02-TB-VIB recap: category=Turbine-side. Please review STS-U1-TB-BRG2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-02-TB-VIB,EVT-2023-02-TB-VIB
EML-00033,2024-09-23T14:48:00Z,Shift Supervisor,Maintenance Planner,Turbine vibration investigation,Event EVT-2023-05-TUBELEAK recap: category=Boiler-side. Please review STS-U1-SH-OUT. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-05-TUBELEAK,EVT-2023-05-TUBELEAK
EML-00034,2024-02-05T14:27:00Z,Control Room Operator,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00035,2024-08-25T03:19:00Z,Performance Analyst,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20240612-18 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240612-18,EVT-DRAFT-20240612-18
EML-00036,2023-11-17T07:48:00Z,Control Room Operator,Shift Supervisor,Draft instability follow-up,Event EVT-2024-07-WETCOAL recap: category=Fuel quality. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-07-WETCOAL,EVT-2024-07-WETCOAL
EML-00037,2023-01-08T00:18:00Z,Shift Supervisor,Performance Analyst,Fuel moisture concerns,Event EVT-2023-03-MILLTRIP recap: category=Boiler-side. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-03-MILLTRIP,EVT-2023-03-MILLTRIP
EML-00038,2024-10-22T04:47:00Z,Performance Analyst,Shift Supervisor,Turbine vibration investigation,Event EVT-DRAFT-20231230-11 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231230-11,EVT-DRAFT-20231230-11
EML-00039,2023-07-06T03:48:00Z,Control Room Operator,Maintenance Planner,Controls issue review,Event EVT-DRAFT-20241106-24 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241106-24,EVT-DRAFT-20241106-24
EML-00040,2023-02-04T10:17:00Z,Maintenance Planner,Performance Analyst,Turbine vibration investigation,Event EVT-2023-05-TUBELEAK recap: category=Boiler-side. Please review STS-U1-SH-OUT. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-05-TUBELEAK,EVT-2023-05-TUBELEAK
EML-00041,2023-02-22T13:25:00Z,Shift Supervisor,Maintenance Planner,Planned outage scope,Event EVT-DRAFT-20231230-11 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231230-11,EVT-DRAFT-20231230-11
EML-00042,2023-02-19T14:57:00Z,Performance Analyst,Maintenance Planner,Turbine vibration investigation,Event EVT-DRAFT-20240724-21 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240724-21,EVT-DRAFT-20240724-21
EML-00043,2024-03-15T08:42:00Z,Shift Supervisor,Reliability Engineer,Fuel moisture concerns,Event EVT-DRAFT-20240724-21 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240724-21,EVT-DRAFT-20240724-21
EML-00044,2024-10-22T21:41:00Z,Reliability Engineer,Shift Supervisor,Draft instability follow-up,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00045,2023-10-11T16:22:00Z,Shift Supervisor,Maintenance Planner,Turbine vibration investigation,Event EVT-2023-02-TB-VIB recap: category=Turbine-side. Please review STS-U1-TB-BRG2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-02-TB-VIB,EVT-2023-02-TB-VIB
EML-00046,2024-11-27T21:53:00Z,Maintenance Planner,Performance Analyst,Controls issue review,Event EVT-DRAFT-20240112-13 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240112-13,EVT-DRAFT-20240112-13
EML-00047,2023-01-16T11:38:00Z,Maintenance Planner,Performance Analyst,Turbine vibration investigation,Event EVT-2024-07-WETCOAL recap: category=Fuel quality. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-07-WETCOAL,EVT-2024-07-WETCOAL
EML-00048,2024-08-06T08:24:00Z,Reliability Engineer,Control Room Operator,Cooling performance issue,Event EVT-DRAFT-20240720-20 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240720-20,EVT-DRAFT-20240720-20
EML-00049,2023-11-18T10:31:00Z,Control Room Operator,Shift Supervisor,Cooling performance issue,Event EVT-DRAFT-20241219-26 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241219-26,EVT-DRAFT-20241219-26
EML-00050,2024-01-08T02:30:00Z,Shift Supervisor,Reliability Engineer,Cooling performance issue,Event EVT-2023-09-PM1 recap: category=Planned Maintenance. Please review STS-U1-SH-OUT. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-09-PM1,EVT-2023-09-PM1
EML-00051,2023-01-13T17:41:00Z,Control Room Operator,Reliability Engineer,Controls issue review,Event EVT-DRAFT-20240720-20 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240720-20,EVT-DRAFT-20240720-20
EML-00052,2024-09-27T08:51:00Z,Maintenance Planner,Shift Supervisor,Draft instability follow-up,Event EVT-DRAFT-20240415-15 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240415-15,EVT-DRAFT-20240415-15
EML-00053,2024-04-04T11:24:00Z,Reliability Engineer,Maintenance Planner,Planned outage scope,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00054,2023-04-27T16:16:00Z,Reliability Engineer,Performance Analyst,Fuel moisture concerns,Event EVT-DRAFT-20230303-01 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230303-01,EVT-DRAFT-20230303-01
EML-00055,2023-09-04T16:22:00Z,Shift Supervisor,Maintenance Planner,Draft instability follow-up,Event EVT-2024-07-WETCOAL recap: category=Fuel quality. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-07-WETCOAL,EVT-2024-07-WETCOAL
EML-00056,2024-05-08T01:09:00Z,Performance Analyst,Control Room Operator,Controls issue review,Event EVT-DRAFT-20240415-15 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240415-15,EVT-DRAFT-20240415-15
EML-00057,2024-07-20T09:10:00Z,Maintenance Planner,Reliability Engineer,Planned outage scope,Event EVT-DRAFT-20231230-11 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231230-11,EVT-DRAFT-20231230-11
EML-00058,2024-04-26T13:38:00Z,Reliability Engineer,Maintenance Planner,Fuel moisture concerns,Event EVT-DRAFT-20230303-01 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230303-01,EVT-DRAFT-20230303-01
EML-00059,2023-04-23T10:59:00Z,Maintenance Planner,Control Room Operator,Controls issue review,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00060,2023-07-16T18:09:00Z,Performance Analyst,Shift Supervisor,Turbine vibration investigation,Event EVT-2023-03-MILLTRIP recap: category=Boiler-side. Please review STS-U1-MILL-3. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2023-03-MILLTRIP,EVT-2023-03-MILLTRIP
EML-00061,2024-01-24T19:10:00Z,Maintenance Planner,Control Room Operator,Turbine vibration investigation,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00062,2024-12-09T02:06:00Z,Performance Analyst,Shift Supervisor,Planned outage scope,Event EVT-DRAFT-20240724-21 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240724-21,EVT-DRAFT-20240724-21
EML-00063,2023-11-09T12:39:00Z,Performance Analyst,Control Room Operator,Fuel moisture concerns,Event EVT-DRAFT-20240720-20 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240720-20,EVT-DRAFT-20240720-20
EML-00064,2023-04-21T16:37:00Z,Maintenance Planner,Performance Analyst,Controls issue review,Event EVT-DRAFT-20230303-01 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230303-01,EVT-DRAFT-20230303-01
EML-00065,2023-02-12T21:12:00Z,Shift Supervisor,Reliability Engineer,Planned outage scope,Event EVT-DRAFT-20231123-10 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231123-10,EVT-DRAFT-20231123-10
EML-00066,2024-12-19T05:20:00Z,Reliability Engineer,Shift Supervisor,Fuel moisture concerns,Event EVT-DRAFT-20241106-24 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241106-24,EVT-DRAFT-20241106-24
EML-00067,2024-01-26T02:56:00Z,Maintenance Planner,Reliability Engineer,Controls issue review,Event EVT-DRAFT-20241106-24 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241106-24,EVT-DRAFT-20241106-24
EML-00068,2023-05-26T03:04:00Z,Maintenance Planner,Control Room Operator,Cooling performance issue,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00069,2024-05-24T03:19:00Z,Shift Supervisor,Control Room Operator,Cooling performance issue,Event EVT-DRAFT-20240415-15 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240415-15,EVT-DRAFT-20240415-15
EML-00070,2024-04-10T02:36:00Z,Maintenance Planner,Performance Analyst,Planned outage scope,Event EVT-DRAFT-20240415-15 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240415-15,EVT-DRAFT-20240415-15
EML-00071,2023-11-12T10:02:00Z,Reliability Engineer,Performance Analyst,Fuel moisture concerns,Event EVT-DRAFT-20240830-22 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240830-22,EVT-DRAFT-20240830-22
EML-00072,2023-10-06T10:36:00Z,Control Room Operator,Shift Supervisor,Fuel moisture concerns,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
EML-00073,2023-01-19T07:30:00Z,Maintenance Planner,Performance Analyst,Planned outage scope,Event EVT-DRAFT-20241130-25 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241130-25,EVT-DRAFT-20241130-25
EML-00074,2023-07-24T09:31:00Z,Shift Supervisor,Performance Analyst,Controls issue review,Event EVT-DRAFT-20230305-02 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230305-02,EVT-DRAFT-20230305-02
EML-00075,2024-11-06T10:35:00Z,Reliability Engineer,Maintenance Planner,Fuel moisture concerns,Event EVT-DRAFT-20230927-07 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230927-07,EVT-DRAFT-20230927-07
EML-00076,2024-09-04T01:09:00Z,Control Room Operator,Shift Supervisor,Fuel moisture concerns,Event EVT-DRAFT-20230403-04 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230403-04,EVT-DRAFT-20230403-04
EML-00077,2023-10-11T12:57:00Z,Control Room Operator,Performance Analyst,Turbine vibration investigation,Event EVT-DRAFT-20231123-10 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231123-10,EVT-DRAFT-20231123-10
EML-00078,2023-10-28T07:46:00Z,Performance Analyst,Reliability Engineer,Planned outage scope,Event EVT-DRAFT-20231123-10 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20231123-10,EVT-DRAFT-20231123-10
EML-00079,2023-11-12T04:04:00Z,Shift Supervisor,Performance Analyst,Planned outage scope,Event EVT-DRAFT-20240531-17 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240531-17,EVT-DRAFT-20240531-17
EML-00080,2023-11-07T12:14:00Z,Shift Supervisor,Performance Analyst,Turbine vibration investigation,Event EVT-DRAFT-20240701-19 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240701-19,EVT-DRAFT-20240701-19
EML-00081,2023-01-14T17:48:00Z,Control Room Operator,Performance Analyst,Controls issue review,Event EVT-DRAFT-20230303-01 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230303-01,EVT-DRAFT-20230303-01
EML-00082,2024-05-22T06:09:00Z,Maintenance Planner,Control Room Operator,Cooling performance issue,Event EVT-2024-03-CW-CONSTR recap: category=Cooling constraints. Please review STS-U1-CWP-2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-03-CW-CONSTR,EVT-2024-03-CW-CONSTR
EML-00083,2023-02-20T11:23:00Z,Shift Supervisor,Control Room Operator,Planned outage scope,Event EVT-DRAFT-20241106-24 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20241106-24,EVT-DRAFT-20241106-24
EML-00084,2023-04-12T17:33:00Z,Reliability Engineer,Maintenance Planner,Controls issue review,Event EVT-2024-02-TB-VIB recap: category=Turbine-side. Please review STS-U1-TB-BRG2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-02-TB-VIB,EVT-2024-02-TB-VIB
EML-00085,2023-12-06T18:34:00Z,Control Room Operator,Shift Supervisor,Turbine vibration investigation,Event EVT-DRAFT-20230303-01 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230303-01,EVT-DRAFT-20230303-01
EML-00086,2023-12-02T16:15:00Z,Control Room Operator,Performance Analyst,Fuel moisture concerns,Event EVT-DRAFT-20240106-12 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240106-12,EVT-DRAFT-20240106-12
EML-00087,2024-02-02T18:19:00Z,Reliability Engineer,Control Room Operator,Planned outage scope,Event EVT-DRAFT-20240720-20 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20240720-20,EVT-DRAFT-20240720-20
EML-00088,2023-04-30T01:49:00Z,Maintenance Planner,Control Room Operator,Turbine vibration investigation,Event EVT-2024-03-CW-CONSTR recap: category=Cooling constraints. Please review STS-U1-CWP-2. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-2024-03-CW-CONSTR,EVT-2024-03-CW-CONSTR
EML-00089,2024-06-11T04:17:00Z,Maintenance Planner,Performance Analyst,Fuel moisture concerns,Event EVT-DRAFT-20230513-05 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230513-05,EVT-DRAFT-20230513-05
EML-00090,2024-08-11T04:45:00Z,Shift Supervisor,Control Room Operator,Turbine vibration investigation,Event EVT-DRAFT-20230309-03 recap: category=Boiler-side. Please review STS-U1-IDF-A. Naming varies (IDF-A/Draft fan #1/APH/CW Pump).,EVT-DRAFT-20230309-03,EVT-DRAFT-20230309-03
